Game,Home,Away,Date,Time,Stadium
001,Confiança / SE,ASA / AL,16/05/2015,16:00,Estadual Lourival Baptista / Aracaju
002,Águia de Marabá / PA,América / RN,17/05/2015,17:00,Zinho Oliveira / Marabá
003,Vila Nova / GO,Cuiabá / MT,17/05/2015,16:00,Serra Dourada / Goiânia
004,Botafogo / PB,Salgueiro / PE,17/05/2015,16:00,Ernani Sátyro / Campina Grande
005,Icasa / CE,Fortaleza / CE,17/05/2015,19:00,Mauro Castelo Branco Sampaio / Juazeiro do Norte
006,Brasil / RS,Juventude / RS,16/05/2015,19:00,Estádio do Vale / Novo Hamburgo
007,Tombense / MG,Tupi / MG,16/05/2015,16:00,Antônio Guimarães de Almeida / Tombos
008,Londrina / PR,Portuguesa / SP,17/05/2015,16:00,Municipal Jacy Scaff / Londrina
009,Caxias / RS,Madureira / RJ,17/05/2015,16:00,Francisco Stédille / Caxias do Sul
010,Guaratinguetá / SP,Guarani / SP,17/05/2015,16:00,Dario R. Leite / Guaratinguetá
011,Fortaleza / CE,Vila Nova / GO,23/05/2015,19:30,Governador Plácido Castelo / Fortaleza
012,América / RN,Icasa / CE,24/05/2015,16:00,Arena das Dunas / Natal
013,ASA / AL,Botafogo / PB,24/05/2015,16:00,Coaracy da Mata Fonseca / Arapiraca
014,Salgueiro / PE,Águia de Marabá / PA,24/05/2015,16:00,Cornélio de Barros / Salgueiro
015,Cuiabá / MT,Confiança / SE,24/05/2015,19:00,Arena Pantanal / Cuiabá
016,Madureira / RJ,Tombense / MG,23/05/2015,15:00,Aniceto Moscoso / Rio de Janeiro
017,Tupi / MG,Guaratinguetá / SP,23/05/2015,16:00,Mário Helênio / Juiz de Fora
018,Guarani / SP,Londrina / PR,25/05/2015,20:15,Brinco de Ouro da Princesa / Campinas
019,Portuguesa / SP,Brasil / RS,23/05/2015,19:00,Estádio Municipal Paulo Machado de Carvalho / São Paulo
020,Juventude / RS,Caxias / RS,24/05/2015,16:00,Alfredo Jaconi / Caxias do Sul
021,Águia de Marabá / PA,Vila Nova / GO,31/05/2015,16:00,Zinho Oliveira / Marabá
022,Icasa / CE,Salgueiro / PE,30/05/2015,16:00,Mauro Castelo Branco Sampaio / Juazeiro do Norte
023,ASA / AL,América / RN,30/05/2015,19:30,Coaracy da Mata Fonseca / Arapiraca
024,Botafogo / PB,Confiança / SE,30/05/2015,19:00,José Américo de Almeida Filho / Joao Pessoa
025,Cuiabá / MT,Fortaleza / CE,01/06/2015,20:15,Arena Pantanal / Cuiabá
026,Madureira / RJ,Portuguesa / SP,30/05/2015,15:00,Aniceto Moscoso / Rio de Janeiro
027,Guarani / SP,Tupi / MG,31/05/2015,19:00,Brinco de Ouro da Princesa / Campinas
028,Tombense / MG,Caxias / RS,30/05/2015,16:00,Antônio Guimarães de Almeida / Tombos
029,Londrina / PR,Juventude / RS,31/05/2015,15:00,Municipal Jacy Scaff / Londrina
030,Brasil / RS,Guaratinguetá / SP,31/05/2015,16:00,Estádio do Vale / Novo Hamburgo
031,Fortaleza / CE,ASA / AL,07/06/2015,19:00,Governador Plácido Castelo / Fortaleza
032,Vila Nova / GO,Icasa / CE,07/06/2015,11:00,Onésio Brasileiro Alvarenga / Goiania
033,Confiança / SE,Águia de Marabá / PA,07/06/2015,19:00,Estadual Lourival Baptista / Aracaju
034,Botafogo / PB,Cuiabá / MT,07/06/2015,19:00,José Américo de Almeida Filho / Joao Pessoa
035,América / RN,Salgueiro / PE,07/06/2015,19:00,Arena das Dunas / Natal
036,Juventude / RS,Guarani / SP,06/06/2015,16:00,Alfredo Jaconi / Caxias do Sul
037,Tupi / MG,Madureira / RJ,06/06/2015,16:45,Mário Helênio / Juiz de Fora
038,Londrina / PR,Tombense / MG,07/06/2015,15:00,Willie Davids / Maringa
039,Caxias / RS,Brasil / RS,07/06/2015,15:00,Francisco Stédille / Caxias do Sul
040,Guaratinguetá / SP,Portuguesa / SP,08/06/2015,20:15,Dario R. Leite / Guaratinguetá
041,Salgueiro / PE,Fortaleza / CE,28/06/2015,19:00,Cornélio de Barros / Salgueiro
042,Vila Nova / GO,América / RN,27/06/2015,16:00,Onésio Brasileiro Alvarenga / Goiania
043,Águia de Marabá / PA,Botafogo / PB,28/06/2015,16:00,Zinho Oliveira / Marabá
044,Icasa / CE,Confiança / SE,28/06/2015,16:00,Mauro Castelo Branco Sampaio / Juazeiro do Norte
045,ASA / AL,Cuiabá / MT,28/06/2015,16:00,Coaracy da Mata Fonseca / Arapiraca
046,Madureira / RJ,Juventude / RS,27/06/2015,15:00,Aniceto Moscoso / Rio de Janeiro
047,Tombense / MG,Guarani / SP,27/06/2015,11:00,Antônio Guimarães de Almeida / Tombos
