Game,Home,Away,Date,Time,Stadium
113,Santa Cruz / PE,Botafogo / PB,14/07/2019,18:00,José do Rêgo Maciel / Recife
114,Treze / PB,Imperatriz / MA,14/07/2019,16:00,Ernani Sátyro / Campina Grande
115,Ferroviário / CE,Náutico / PE,15/07/2019,20:00,Governador Plácido Aderaldo Castelo / Fortaleza
116,Atlético / AC,Boa / MG,14/07/2019,19:00,Antonio Aquino Lopes / Rio Branco
117,Remo / PA,Luverdense / MT,13/07/2019,15:00,Evandro Almeida / Belem
118,Tombense / MG,Volta Redonda / RJ,11/07/2019,20:00,Antônio Guimarães de Almeida / Tombos
119,Juventude / RS,Paysandu / PA,13/07/2019,17:00,Alfredo Jaconi / Caxias do Sul
120,São José / RS,Ypiranga / RS,13/07/2019,15:00,Passo D´areia / Porto Alegre
121,Globo / RN,Ferroviário / CE,20/07/2019,17:00,Manoel Dantas Barretto / Ceara-Mirim
122,Sampaio Corrêa / MA,Santa Cruz / PE,18/07/2019,20:00,Governador João Castelo / Sao Luis
123,Náutico / PE,Treze / PB,21/07/2019,18:00,Eládio de Barros Carvalho / Recife
124,Botafogo / PB,ABC / RN,20/07/2019,17:00,José Américo de Almeida Filho / Joao Pessoa
125,Confiança / SE,Imperatriz / MA,21/07/2019,16:00,Lourival Baptista / Aracaju
126,Luverdense / MT,Tombense / MG,21/07/2019,17:00,Passo das Emas / Lucas do Rio Verde
127,Paysandu / PA,Volta Redonda / RJ,22/07/2019,20:00,Olímpico do Pará / Belem
128,Boa / MG,Juventude / RS,20/07/2019,19:15,Dilzon Luís de Melo / Varginha
129,Ypiranga / RS,Remo / PA,19/07/2019,20:00,Colosso da Lagoa / Erechim
130,São José / RS,Atlético / AC,20/07/2019,15:00,Passo D´areia / Porto Alegre
131,ABC / RN,Santa Cruz / PE,27/07/2019,17:00,Maria Lamas Farache / Natal
132,Imperatriz / MA,Botafogo / PB,25/07/2019,20:00,Frei Epifânio D´abadia / Imperatriz
133,Náutico / PE,Confiança / SE,26/07/2019,20:00,Eládio de Barros Carvalho / Recife
134,Treze / PB,Globo / RN,28/07/2019,16:00,Presidente Vargas / Campina Grande
135,Ferroviário / CE,Sampaio Corrêa / MA,25/07/2019,20:00,Governador Plácido Aderaldo Castelo / Fortaleza
136,Atlético / AC,Remo / PA,27/07/2019,19:15,Antonio Aquino Lopes / Rio Branco
137,Paysandu / PA,Boa / MG,29/07/2019,20:00,Olímpico do Pará / Belem
138,Tombense / MG,Ypiranga / RS,27/07/2019,16:00,Antônio Guimarães de Almeida / Tombos
139,Juventude / RS,São José / RS,28/07/2019,18:00,Alfredo Jaconi / Caxias do Sul
140,Volta Redonda / RJ,Luverdense / MT,28/07/2019,16:00,Sylvio Raulino de Oliveira / Volta Redonda
141,Globo / RN,Náutico / PE,05/08/2019,20:00,Manoel Dantas Barretto / Ceara-Mirim
142,Sampaio Corrêa / MA,Treze / PB,04/08/2019,18:00,Governador João Castelo / Sao Luis
143,Santa Cruz / PE,Imperatriz / MA,02/08/2019,20:00,Arena Pernambuco Governador Carlos Wilson Campos / São Lourenço da Mata
144,Botafogo / PB,Confiança / SE,04/08/2019,18:00,José Américo de Almeida Filho / Joao Pessoa
145,Ferroviário / CE,ABC / RN,05/08/2019,20:00,Governador Plácido Aderaldo Castelo / Fortaleza
146,Atlético / AC,Juventude / RS,03/08/2019,19:15,Antonio Aquino Lopes / Rio Branco
147,Remo / PA,Tombense / MG,01/08/2019,20:00,Olímpico do Pará / Belem
148,Boa / MG,Luverdense / MT,05/08/2019,19:15,Dilzon Luís de Melo / Varginha
149,Ypiranga / RS,Volta Redonda / RJ,03/08/2019,15:30,Colosso da Lagoa / Erechim
150,São José / RS,Paysandu / PA,03/08/2019,17:00,Passo D´areia / Porto Alegre
151,Globo / RN,Botafogo / PB,10/08/2019,19:15,Manoel Dantas Barretto / Ceara-Mirim
152,Imperatriz / MA,ABC / RN,10/08/2019,19:00,Frei Epifânio D´abadia / Imperatriz
153,Náutico / PE,Sampaio Corrêa / MA,12/08/2019,20:00,Eládio de Barros Carvalho / Recife
154,Treze / PB,Ferroviário / CE,11/08/2019,16:00,Presidente Vargas / Campina Grande
155,Confiança / SE,Santa Cruz / PE,11/08/2019,18:00,Lourival Baptista / Aracaju
156,Luverdense / MT,Ypiranga / RS,11/08/2019,17:00,Passo das Emas / Lucas do Rio Verde
