Game,Home,Away
001,Ponte Preta / SP,Paysandu / PA
002,Oeste / SP,CRB / AL
003,Brasil / RS,São Bento / SP
004,Figueirense / SC,Juventude / RS
005,Fortaleza / CE,Guarani / SP
006,Vila Nova / GO,Avaí / SC
007,Atlético / GO,Criciúma / SC
008,CSA / AL,Goiás / GO
009,Londrina / PR,Boa / MG
010,Sampaio Corrêa / MA,Coritiba / PR
011,Guarani / SP,Sampaio Corrêa / MA
012,São Bento / SP,CSA / AL
013,Juventude / RS,Oeste / SP
014,Avaí / SC,Brasil / RS
015,Criciúma / SC,Ponte Preta / SP
016,Goiás / GO,Figueirense / SC
017,Boa / MG,Fortaleza / CE
018,CRB / AL,Vila Nova / GO
019,Coritiba / PR,Atlético / GO
020,Paysandu / PA,Londrina / PR
021,Ponte Preta / SP,Londrina / PR
022,São Bento / SP,Goiás / GO
023,Juventude / RS,Avaí / SC
024,Figueirense / SC,Boa / MG
025,Fortaleza / CE,CRB / AL
026,Vila Nova / GO,Sampaio Corrêa / MA
027,Atlético / GO,Guarani / SP
028,CSA / AL,Oeste / SP
029,Coritiba / PR,Criciúma / SC
030,Paysandu / PA,Brasil / RS
031,Guarani / SP,Ponte Preta / SP
032,Oeste / SP,Coritiba / PR
033,Brasil / RS,Figueirense / SC
034,Avaí / SC,São Bento / SP
035,Criciúma / SC,CSA / AL
036,Goiás / GO,Vila Nova / GO
037,Boa / MG,Juventude / RS
038,CRB / AL,Atlético / GO
039,Londrina / PR,Fortaleza / CE
040,Sampaio Corrêa / MA,Paysandu / PA
041,Guarani / SP,Criciúma / SC
042,São Bento / SP,Oeste / SP
043,Juventude / RS,Paysandu / PA
044,Figueirense / SC,Avaí / SC
045,Fortaleza / CE,Goiás / GO
046,Vila Nova / GO,Ponte Preta / SP
047,Atlético / GO,Londrina / PR
048,CSA / AL,Boa / MG
049,Coritiba / PR,Brasil / RS
050,Sampaio Corrêa / MA,CRB / AL
051,Ponte Preta / SP,Atlético / GO
052,Oeste / SP,Vila Nova / GO
053,Brasil / RS,Sampaio Corrêa / MA
054,Figueirense / SC,Fortaleza / CE
055,Criciúma / SC,Juventude / RS
056,Goiás / GO,Guarani / SP
057,Boa / MG,Coritiba / PR
058,CRB / AL,Avaí / SC
059,Londrina / PR,CSA / AL
060,Paysandu / PA,São Bento / SP
061,Guarani / SP,CRB / AL
062,São Bento / SP,Juventude / RS
063,Brasil / RS,Londrina / PR
064,Avaí / SC,Paysandu / PA
065,Fortaleza / CE,Criciúma / SC
066,Goiás / GO,Boa / MG
067,Atlético / GO,Oeste / SP
068,CSA / AL,Figueirense / SC
069,Coritiba / PR,Vila Nova / GO
070,Sampaio Corrêa / MA,Ponte Preta / SP
071,Ponte Preta / SP,Oeste / SP
072,São Bento / SP,Figueirense / SC
073,Juventude / RS,Guarani / SP
074,Avaí / SC,Criciúma / SC
075,Fortaleza / CE,Sampaio Corrêa / MA
076,Vila Nova / GO,CSA / AL
077,Atlético / GO,Goiás / GO
078,CRB / AL,Brasil / RS
079,Londrina / PR,Coritiba / PR
080,Paysandu / PA,Boa / MG
081,Ponte Preta / SP,Goiás / GO
082,Oeste / SP,Brasil / RS
083,Juventude / RS,Atlético / GO
084,Figueirense / SC,Londrina / PR
085,Criciúma / SC,Paysandu / PA
086,Vila Nova / GO,Fortaleza / CE
087,Boa / MG,São Bento / SP
088,CSA / AL,Guarani / SP
089,Coritiba / PR,CRB / AL
090,Sampaio Corrêa / MA,Avaí / SC
091,Guarani / SP,Vila Nova / GO
092,São Bento / SP,Fortaleza / CE
093,Brasil / RS,Ponte Preta / SP
094,Avaí / SC,Coritiba / PR
095,Criciúma / SC,Boa / MG
096,Goiás / GO,Paysandu / PA
097,Atlético / GO,Figueirense / SC
098,CSA / AL,CRB / AL
099,Londrina / PR,Juventude / RS
100,Sampaio Corrêa / MA,Oeste / SP
101,Guarani / SP,São Bento / SP
102,Oeste / SP,Criciúma / SC
103,Juventude / RS,Coritiba / PR
104,Figueirense / SC,Sampaio Corrêa / MA
105,Fortaleza / CE,Brasil / RS
106,Vila Nova / GO,Atlético / GO
107,Boa / MG,Avaí / SC
108,CRB / AL,Ponte Preta / SP
109,Londrina / PR,Goiás / GO
110,Paysandu / PA,CSA / AL
111,Ponte Preta / SP,CSA / AL
112,São Bento / SP,Londrina / PR
113,Brasil / RS,Criciúma / SC
114,Avaí / SC,Guarani / SP
115,Fortaleza / CE,Oeste / SP
116,Goiás / GO,Juventude / RS
117,Boa / MG,Vila Nova / GO
118,CRB / AL,Paysandu / PA
119,Coritiba / PR,Figueirense / SC
120,Sampaio Corrêa / MA,Atlético / GO
121,Guarani / SP,Boa / MG
122,Oeste / SP,Avaí / SC
123,Juventude / RS,Vila Nova / GO
124,Figueirense / SC,Ponte Preta / SP
125,Criciúma / SC,São Bento / SP
126,Goiás / GO,CRB / AL
127,Atlético / GO,Brasil / RS
128,CSA / AL,Coritiba / PR
129,Londrina / PR,Sampaio Corrêa / MA
130,Paysandu / PA,Fortaleza / CE
131,Ponte Preta / SP,Fortaleza / CE
132,Oeste / SP,Guarani / SP
133,Brasil / RS,CSA / AL
134,Avaí / SC,Goiás / GO
135,Criciúma / SC,Figueirense / SC
136,Vila Nova / GO,Londrina / PR
137,Atlético / GO,Boa / MG
138,CRB / AL,São Bento / SP
139,Coritiba / PR,Paysandu / PA
140,Sampaio Corrêa / MA,Juventude / RS
141,Guarani / SP,Coritiba / PR
142,São Bento / SP,Ponte Preta / SP
143,Brasil / RS,Juventude / RS
144,Figueirense / SC,Oeste / SP
145,Fortaleza / CE,Atlético / GO
146,Goiás / GO,Criciúma / SC
