Game,Home,Away,Date,Time,Stadium
001,Sousa / PB,Cruzeiro / MG,21/02/2024,19:15,Antônio Mariz / Sousa
002,Petrolina / PE,Cascavel / PR,28/02/2024,19:30,Paulo Coelho / Petrolina
003,Anápolis / GO,Tombense / MG,21/02/2024,19:30,Jonas Ferreira Duarte / Anapolis
004,Nova Venecia - / ES,Botafogo / SP,20/02/2024,20:00,José Olimpio da Rocha / Aguia Branca
005,Leao do Vale - Cianorte / PR,Corinthians / SP,22/02/2024,20:00,Willie Davids / Maringa
006,Olaria / RJ,Sao Bernardo / SP,28/02/2024,15:30,Antônio Mourão Vieira Filho / Rio de Janeiro
007,Humaitá / AC,Sampaio Corrêa / MA,28/02/2024,21:30,Antonio Aquino Lopes / Rio Branco
008,Maranhão / MA,Ferroviário / CE,28/02/2024,19:30,Governador João Castelo / Sao Luis
009,Fluminense / PI,Fortaleza / CE,04/03/2024,16:00,Lindolfo Monteiro / Teresina
010,Manauara / AM,Retrô / PE,21/02/2024,16:30,Carlos Zamith / Manaus
011,Porto Velho / RO,Remo / PA,20/02/2024,16:30,Aluizio Pinheiro Ferreira / Porto Velho
012,Ríver / PI,Ypiranga / RS,21/02/2024,16:00,Governador Alberto Silva / Teresina
013,Real Noroeste / ES,Cuiabá / MT,22/02/2024,17:30,José Olimpio da Rocha / Aguia Branca
014,Audax Rio / RJ,Portuguesa / RJ,21/02/2024,19:30,Elcyr Resende de Mendonça / Saquarema
015,Treze / PB,ABC / RN,21/02/2024,19:30,Ernani Sátyro / Campina Grande
016,Sampaio / RR,Brusque / SC,28/02/2024,20:30,Flamarion Vasconcelos / Boa Vista
017,Maringa / PR,América / MG,28/02/2024,19:15,Willie Davids / Maringa
018,Independente / AP,Amazonas / AM,21/02/2024,20:30,Estádio Milton de Souza Correa / Macapa
019,Operário / MS,Operário / PR,28/02/2024,21:30,Jacques da Luz / Campo Grande
020,Villa Nova / MG,Aparecidense / GO,28/02/2024,20:30,Castor Cifuentes / Nova Lima
021,Moto Club / MA,Bahia / BA,21/02/2024,20:00,Nhozinho Santos / Sao Luis
022,Portuguesa Santista / SP,Caxias / RS,28/02/2024,20:30,Ulrico Mursa / Santos
023,Trem / AP,Sport / PE,28/02/2024,21:30,Estádio Milton de Souza Correa / Macapa
024,Murici / AL,Confiança / SE,28/02/2024,19:30,José Gomes da Costa / Murici
025,Marcílio Dias / SC,Vasco da Gama / RJ,27/02/2024,21:30,Hercílio Luz / Itajai
026,Agua Santa / SP,Jacuipense / BA,28/02/2024,20:30,Arena Barueri / Barueri
027,São Luiz / RS,Ituano / SP,21/02/2024,20:30,19 de Outubro / Ijui
028,Costa Rica / MS,América F.c. / RN,21/02/2024,20:30,Laerte Paes Coelho / Costa Rica
029,União de Rondonópolis / MT,Atlético / GO,21/02/2024,21:30,Luthero Lopes / Rondonopolis
030,Real Brasília / DF,São Raimundo / RR,21/02/2024,15:30,Ciro Machado  / Brasilia
031,Rio Branco / AC,CRB / AL,21/02/2024,21:30,Antonio Aquino Lopes / Rio Branco
032,Athletic / MG,Volta Redonda / RJ,27/02/2024,19:15,Estádio Joaquim Portugal  / Sao Joao del Rei
033,Aguia de Maraba / PA,Coritiba / PR,22/02/2024,20:00,Zinho Oliveira / Maraba
034,Capital / TO,Tocantinópolis / TO,21/02/2024,20:30,Nilton Santos / Palmas
035,Operário Ceov / MT,Criciúma / SC,28/02/2024,21:30,Arena Pantanal / Cuiaba
036,Itabaiana / SE,Brasiliense / DF,21/02/2024,19:30,Paulo Barreto de Menezes / Lagarto
037,ASA / AL,Internacional / RS,28/02/2024,20:00,Coaracy da Mata Fonseca / Arapiraca
038,Itabuna / BA,Nova Iguaçu / RJ,28/02/2024,19:30,Mário Pessoa / Ilheus
039,Iguatu / CE,Juventude / RS,27/02/2024,20:00,Antônio Moreno de Melo / Iguatu
040,Ji-paraná / RO,Paysandu / PA,29/02/2024,21:30,José de Abreu Bianco / Ji-Parana
041,Sousa / PB,Petrolina / PE,07/03/2024,20:30,Antônio Mariz / Sousa
042,Botafogo / SP,Anápolis / GO,14/03/2024,21:30,Santa Cruz / Ribeirao Preto
043,Sao Bernardo / SP,Corinthians / SP,14/03/2024,20:00,1º de Maio / Sao Bernardo do Campo
044,Sampaio Corrêa / MA,Ferroviário / CE,13/03/2024,21:30,Governador João Castelo / Sao Luis
045,Fortaleza / CE,Retrô / PE,14/03/2024,21:30,Governador Plácido Aderaldo Castelo / Fortaleza
046,Ypiranga / RS,Porto Velho / RO,13/03/2024,19:00,Colosso da Lagoa / Erechim
047,Portuguesa / RJ,Cuiabá / MT,12/03/2024,20:00,Luso Brasileiro / Rio de Janeiro
048,ABC / RN,Brusque / SC,12/03/2024,21:30,Maria Lamas Farache / Natal
049,Maringa / PR,Amazonas / AM,14/03/2024,21:30,Willie Davids / Maringa
050,Villa Nova / MG,Operário / PR,07/03/2024,19:00,Castor Cifuentes / Nova Lima
051,Caxias / RS,Bahia / BA,12/03/2024,21:30,Francisco Stédile / Caxias do Sul
052,Sport / PE,Murici / AL,13/03/2024,19:00,Arena Pernambuco Governador Carlos Wilson Campos / São Lourenço da Mata
053,Vasco da Gama / RJ,Agua Santa / SP,07/03/2024,20:00,São Januário / Rio de Janeiro
054,América F.c. / RN,São Luiz / RS,13/03/2024,21:30,Arena das Dunas / Natal
055,Real Brasília / DF,Atlético / GO,06/03/2024,20:00,Valmir Campelo Bezerra / Gama
056,CRB / AL,Athletic / MG,12/03/2024,19:00,Rei Pelé / Maceio
057,Aguia de Maraba / PA,Capital / TO,14/03/2024,20:30,Zinho Oliveira / Maraba
058,Brasiliense / DF,Criciúma / SC,14/03/2024,19:00,Elmo Serejo Farias / Brasilia
059,Nova Iguaçu / RJ,Internacional / RS,13/03/2024,20:00,Estádio Nacional Mané Garrincha / Brasilia
060,Juventude / RS,Paysandu / PA,13/03/2024,21:30,Alfredo Jaconi / Caxias do Sul
061,Operário / PR,Grêmio / RS,30/04/2024,20:00,Germano Kruger / Ponta Grossa
062,Bahia / BA,Criciúma / SC,30/04/2024,19:00,Octávio Mangabeira / Salvador
063,Sampaio Corrêa / MA,Fluminense / RJ,01/05/2024,16:00,Kleber José de Andrade / Cariacica
064,Sousa / PB,Red Bull Bragantino / SP,01/05/2024,18:00,Antônio Mariz / Sousa
065,Goiás / GO,Cuiabá / MT,02/05/2024,21:30,Hailé Pinheiro / Goiania
066,Botafogo / RJ,Vitória / BA,02/05/2024,19:00,Nilton Santos / Rio de Janeiro
067,Fortaleza / CE,Vasco da Gama / RJ,01/05/2024,19:00,Governador Plácido Aderaldo Castelo / Fortaleza
068,Flamengo / RJ,Amazonas / AM,01/05/2024,21:30,Jornalista Mário Filho / Rio de Janeiro
069,Aguia de Maraba / PA,São Paulo / SP,02/05/2024,19:30,Olímpico do Pará / Belem
070,Palmeiras / SP,Botafogo / SP,02/05/2024,21:30,Allianz Parque / Sao Paulo
071,Ypiranga / RS,Athletico Paranaense / PR,01/05/2024,18:00,Colosso da Lagoa / Erechim
072,Internacional / RS,Juventude / RS,10/07/2024,19:00,José Pinheiro Borda / Porto Alegre
073,CRB / AL,Ceará / CE,02/05/2024,20:30,Rei Pelé / Maceio
