Game,Home,Away,Date,Time,Stadium
186,Juventude / RS,Santa Cruz / PE,05/08/2017,16:30,Alfredo Jaconi / Caxias do Sul
187,Londrina / PR,Vila Nova / GO,07/08/2017,20:00,Jacy Scaff / Londrina
188,Boa / MG,Paraná / PR,05/08/2017,19:00,Dilzon Luís de Melo / Varginha
189,Paysandu / PA,Figueirense / SC,05/08/2017,19:00,Leônidas Sobré de Castro / Belem
190,CRB / AL,América / MG,04/08/2017,21:30,Rei Pelé / Maceió
191,Santa Cruz / PE,Criciúma / SC,08/08/2017,19:15,José do Rego Maciel / Recife
192,Luverdense / MT,Juventude / RS,08/08/2017,21:30,Passo das Emas / Lucas do Rio Verde
193,Brasil / RS,Guarani / SP,11/08/2017,19:15,Bento da Silva Freitas / Pelotas
194,Vila Nova / GO,Boa / MG,11/08/2017,20:30,Serra Dourada / Goiânia
195,América / MG,Náutico / PE,11/08/2017,21:30,Raimundo Sampaio / Belo Horizonte
196,Ceará / CE,CRB / AL,12/08/2017,16:30,Governador Plácido Aderaldo Castelo / Fortaleza
197,Paraná / PR,ABC / RN,12/08/2017,16:30,Durival Britto E Silva / Curitiba
198,Internacional / RS,Londrina / PR,12/08/2017,16:30,José Pinheiro Borda / Porto Alegre
199,Oeste / SP,Paysandu / PA,12/08/2017,19:00,Arena Barueri / Barueri
200,Figueirense / SC,Goiás / GO,12/08/2017,19:00,Orlando Scarpelli / Florianopolis
201,Londrina / PR,Brasil / RS,15/08/2017,19:15,Jacy Scaff / Londrina
202,Náutico / PE,Figueirense / SC,15/08/2017,21:30,Pernambuco de Pernambuco / São Lourenço da Mata
203,Paysandu / PA,Paraná / PR,19/08/2017,19:00,Olímpico do Pará / Belém
204,Criciúma / SC,Oeste / SP,18/08/2017,20:30,Heriberto Hulse / Criciuma
205,Goiás / GO,América / MG,18/08/2017,21:30,Olímpico Pedro Ludovico / 
206,ABC / RN,Internacional / RS,19/08/2017,16:30,Maria Lamas Farache / Natal
207,Guarani / SP,Santa Cruz / PE,19/08/2017,16:30,Brinco de Ouro da Princesa / Campinas
208,Boa / MG,Ceará / CE,19/08/2017,16:30,Dilzon Luís de Melo / Varginha
209,CRB / AL,Luverdense / MT,19/08/2017,16:30,Rei Pelé / Maceió
210,Juventude / RS,Vila Nova / GO,18/08/2017,19:15,Alfredo Jaconi / Caxias do Sul
211,Brasil / RS,Goiás / GO,22/08/2017,19:15,Bento da Silva Freitas / Pelotas
212,América / MG,Criciúma / SC,22/08/2017,21:30,Raimundo Sampaio / Belo Horizonte
213,Paraná / PR,Juventude / RS,25/08/2017,20:30,Durival Britto E Silva / Curitiba
214,Vila Nova / GO,ABC / RN,26/08/2017,16:30,Serra Dourada / Goiânia
215,Figueirense / SC,Guarani / SP,26/08/2017,19:00,Orlando Scarpelli / Florianopolis
216,Internacional / RS,Paysandu / PA,25/08/2017,21:30,José Pinheiro Borda / Porto Alegre
217,Ceará / CE,Náutico / PE,25/08/2017,19:15,Presidente Vargas / Fortaleza
218,Oeste / SP,Boa / MG,26/08/2017,16:30,Arena Barueri / Barueri
219,Luverdense / MT,Londrina / PR,26/08/2017,19:00,Passo das Emas / Lucas do Rio Verde
220,Santa Cruz / PE,CRB / AL,26/08/2017,16:30,José do Rego Maciel / Recife
221,Guarani / SP,Vila Nova / GO,04/09/2017,20:00,Brinco de Ouro da Princesa / Campinas
222,Goiás / GO,Paraná / PR,06/09/2017,19:30,Serra Dourada / Goiânia
223,Náutico / PE,Brasil / RS,06/09/2017,21:45,Pernambuco de Pernambuco / São Lourenço da Mata
224,Boa / MG,Figueirense / SC,08/09/2017,19:15,Dilzon Luís de Melo / Varginha
225,Paysandu / PA,América / MG,08/09/2017,21:30,Olímpico do Pará / Belém
226,Criciúma / SC,Luverdense / MT,09/09/2017,16:30,Heriberto Hulse / Criciuma
227,Juventude / RS,Internacional / RS,09/09/2017,16:30,Alfredo Jaconi / Caxias do Sul
228,Londrina / PR,Ceará / CE,09/09/2017,16:30,Jacy Scaff / Londrina
229,CRB / AL,Oeste / SP,09/09/2017,19:00,Rei Pelé / Maceió
230,ABC / RN,Santa Cruz / PE,09/09/2017,19:00,Arena das Dunas / Natal
231,Boa / MG,Guarani / SP,12/09/2017,19:15,Dilzon Luís de Melo / Varginha
232,Criciúma / SC,Juventude / RS,12/09/2017,21:30,Heriberto Hulse / Criciuma
233,Paraná / PR,Londrina / PR,16/09/2017,19:00,Durival Britto E Silva / Curitiba
234,Vila Nova / GO,Luverdense / MT,16/09/2017,16:30,Serra Dourada / Goiânia
235,Ceará / CE,América / MG,15/09/2017,21:30,Governador Plácido Aderaldo Castelo / Fortaleza
236,Oeste / SP,Náutico / PE,16/09/2017,16:30,Arena Barueri / Barueri
237,Brasil / RS,CRB / AL,16/09/2017,16:30,Bento da Silva Freitas / Pelotas
238,Paysandu / PA,ABC / RN,16/09/2017,16:30,Leônidas Sobré de Castro / Belem
239,Internacional / RS,Figueirense / SC,16/09/2017,16:30,José Pinheiro Borda / Porto Alegre
240,Santa Cruz / PE,Goiás / GO,15/09/2017,19:15,José do Rego Maciel / Recife
241,América / MG,Vila Nova / GO,19/09/2017,19:15,Raimundo Sampaio / Belo Horizonte
242,Guarani / SP,Paraná / PR,19/09/2017,21:30,Brinco de Ouro da Princesa / Campinas
243,Juventude / RS,Boa / MG,22/09/2017,19:15,Alfredo Jaconi / Caxias do Sul
