Game,Home,Away,Date,Time,Stadium
001,Aguia de Maraba / PA,Princesa do Solimões / AM,07/05/2023,16:00,Zinho Oliveira / Maraba
002,Nacional / AM,Humaitá / AC,07/05/2023,16:00,Ismael Benigno / Manaus
003,Sao Francisco / AC,São Raimundo / RR,07/05/2023,18:00,Antonio Aquino Lopes / Rio Branco
004,Trem / AP,Tuna Luso / PA,06/05/2023,16:00,Milton de Souza Correia / Macapa
005,Ferroviário / CE,Fluminense / PI,07/05/2023,17:00,Presidente Vargas / Fortaleza
006,Parnahyba / PI,Tocantinópolis / TO,07/05/2023,17:00,Pedro Alelaf / Parnaiba
007,Caucaia / CE,Cordino / MA,07/05/2023,15:00,Raimundo de Oliveira / Caucaia
008,Maranhão / MA,Atlético / CE,07/05/2023,16:00,Nhozinho Santos / Sao Luis
009,Nacional / PB,Potiguar / RN,07/05/2023,16:00,José Cavalcante / Patos
010,Globo / RN,Sousa / PB,07/05/2023,16:00,Manoel Dantas Barretto / Ceara-Mirim
011,Santa Cruz / PE,Iguatu / CE,08/05/2023,20:00,José do Rêgo Maciel / Recife
012,Pacajus / CE,Campinense / PB,06/05/2023,19:00,João Ronaldo / Pacajus
013,Bahia de Feira / BA,Sergipe / SE,06/05/2023,17:00,Professor Jodilton Souza   / Feira de Santana
014,Falcon / SE,Retrô / PE,06/05/2023,16:00,Lourival Baptista / Aracaju
015,Jacuipense / BA,ASA / AL,07/05/2023,16:00,Eliel Martins / Riachao do Jacuipe
016,Cruzeiro / AL,Atlético / BA,07/05/2023,16:00,Coaracy da Mata Fonseca / Arapiraca
017,Ceilândia / DF,Ipora / GO,06/05/2023,15:30,Mª de Lourdes Abadia / Ceilândia
018,Anápolis / GO,Real Ariquemes / RO,06/05/2023,17:00,Jonas Ferreira Duarte / Anapolis
019,Interporto / TO,União de Rondonópolis / MT,06/05/2023,16:00,General Sampaio / Porto Nacional
020,Operário Ceov / MT,Brasiliense / DF,06/05/2023,16:00,Benedito Laurindo de Souza / Varzea Grande
021,Nova Iguaçu / RJ,Atlhetic Ce / MG,06/05/2023,11:00,Jânio Moraes / Nova Iguacu
022,Ec Democrata / MG,Santo André / SP,08/05/2023,20:30,José Mammud Abbas / 
023,Portuguesa / RJ,Real Noroeste / ES,06/05/2023,18:00,Luso Brasileiro / Rio de Janeiro
024,Vitória / ES,Resende / RJ,06/05/2023,15:00,Salvador Venâncio da Costa / Vitoria
025,XV de Piracicaba / SP,Maringá / PR,06/05/2023,17:00,Barão de Serra Negra / Piracicaba
026,Cascavel / PR,Crac / GO,06/05/2023,16:00,Arnaldo Busatto / Cascavel
027,Ferroviária / SP,Operário / MS,06/05/2023,17:00,Ademar Pereira de Barros / Araraquara
028,Atlético Patrocinense / MG,Inter de Limeira / SP,06/05/2023,18:00,Pedro Alves do Nascimento / Patrocinio
029,Aimoré / RS,Hercilio Luz / SC,07/05/2023,16:00,João Corrêa da Silveira / Sao Leopoldo
030,Sãojoseense / PR,Caxias / RS,06/05/2023,15:30,Estádio Municipal do Pinhão / Sao Jose dos Pinhais
031,Novo Hamburgo / RS,Camboriu / SC,07/05/2023,18:00,Estádio do Vale / Novo Hamburgo
032,Concordia Atlético Clube / SC,Brasil / RS,07/05/2023,15:00,Domingos Machado de Lima / Concordia
033,São Raimundo / RR,Aguia de Maraba / PA,13/05/2023,17:00,Flamarion Vasconcelos / Boa Vista
034,Humaitá / AC,Trem / AP,13/05/2023,18:00,Antonio Aquino Lopes / Rio Branco
035,Princesa do Solimões / AM,Sao Francisco / AC,14/05/2023,17:00,Gilberto Mestrinho / Manacapuru
036,Tuna Luso / PA,Nacional / AM,14/05/2023,15:00,Francisco Vasques / Belem
037,Cordino / MA,Ferroviário / CE,13/05/2023,17:00,Leandro Cláudio da Silva / Barra do Corda
038,Tocantinópolis / TO,Maranhão / MA,14/05/2023,16:00,João Ribeiro / Tocantinopolis
039,Fluminense / PI,Caucaia / CE,14/05/2023,15:30,Jose Teixeira dos Santos / Teresina
040,Atlético / CE,Parnahyba / PI,13/05/2023,15:00,Horácio Domingos de Sousa / Horizonte
041,Iguatu / CE,Nacional / PB,13/05/2023,16:00,Antônio Moreno de Melo / Iguatu
042,Sousa / PB,Pacajus / CE,14/05/2023,16:00,Antônio Mariz / Sousa
043,Potiguar / RN,Santa Cruz / PE,14/05/2023,17:00,Leonardo Nogueira / Mossoro
044,Campinense / PB,Globo / RN,14/05/2023,17:00,Ernani Sátyro / Campina Grande
045,ASA / AL,Bahia de Feira / BA,13/05/2023,17:00,Coaracy da Mata Fonseca / Arapiraca
046,Retrô / PE,Cruzeiro / AL,13/05/2023,17:00,Arena Pernambuco Governador Carlos Wilson Campos / São Lourenço da Mata
047,Sergipe / SE,Jacuipense / BA,14/05/2023,17:00,Lourival Baptista / Aracaju
048,Atlético / BA,Falcon / SE,13/05/2023,17:00,Antônio Carneiro / Alagoinhas
049,União de Rondonópolis / MT,Ceilândia / DF,13/05/2023,16:00,Luthero Lopes / Rondonopolis
050,Real Ariquemes / RO,Operário Ceov / MT,14/05/2023,16:00,Gentil Valério de Lima / Ariquemes
051,Ipora / GO,Interporto / TO,14/05/2023,15:30,Francisco José Ferreira / Ipora
052,Brasiliense / DF,Anápolis / GO,13/05/2023,17:00,Elmo Serejo Farias / Brasilia
053,Real Noroeste / ES,Nova Iguaçu / RJ,13/05/2023,15:30,José Olimpio da Rocha / Aguia Branca
054,Santo André / SP,Vitória / ES,13/05/2023,15:00,Bruno José Daniel / Santo Andre
055,Atlhetic Ce / MG,Portuguesa / RJ,13/05/2023,17:00,Estádio Joaquim Portugal  / Sao Joao del Rei
056,Resende / RJ,Ec Democrata / MG,13/05/2023,15:00,Municipal de Resende / Resende
057,Operário / MS,XV de Piracicaba / SP,14/05/2023,17:00,Jacques da Luz / Campo Grande
058,Crac / GO,Atlético Patrocinense / MG,13/05/2023,18:00,Genervino Evangelista da Fonseca / Catalao
059,Maringá / PR,Ferroviária / SP,13/05/2023,19:00,Willie Davids / Maringa
060,Inter de Limeira / SP,Cascavel / PR,13/05/2023,16:00,Major José Levy Sobrinho / Limeira
061,Camboriu / SC,Aimoré / RS,13/05/2023,17:00,Estádio Eduardo Zeferino Tiago / Balneario Camboriu
062,Caxias / RS,Concordia Atlético Clube / SC,14/05/2023,15:00,Francisco Stédile / Caxias do Sul
063,Hercilio Luz / SC,Novo Hamburgo / RS,13/05/2023,15:00,Aníbal Torres Costa / Tubarao
064,Brasil / RS,Sãojoseense / PR,14/05/2023,16:00,Bento da Silva Freitas / Pelotas
065,Aguia de Maraba / PA,Humaitá / AC,21/05/2023,16:00,Zinho Oliveira / Maraba
066,Sao Francisco / AC,Tuna Luso / PA,21/05/2023,18:00,Antonio Aquino Lopes / Rio Branco
067,Nacional / AM,Princesa do Solimões / AM,20/05/2023,16:00,Ismael Benigno / Manaus
068,São Raimundo / RR,Trem / AP,21/05/2023,17:00,Flamarion Vasconcelos / Boa Vista
