Game,Home,Away,Date,Time,Stadium
001,Santana / AP,G.A.S. / RR,26/05/2021,15:00,Milton de Souza Correia / Macapa
002,Tocantinópolis / TO,Picos / PI,26/05/2021,16:00,João Ribeiro / Tocantinopolis
003,Real Ariquemes / RO,Brasiliense / DF,26/05/2021,16:00,Gentil Valério de Lima / Ariquemes
004,Aquidauanense / MS,Rio Branco / ES,26/05/2021,16:00,Municipal de Aquidauana / Aquidauana
005,G.A.S. / RR,Santana / AP,30/05/2021,17:00,Flamarion Vasconcelos / Boa Vista
006,Picos / PI,Tocantinópolis / TO,30/05/2021,16:00,Municipal Helvídio Nunes de Barros / Picos
007,Brasiliense / DF,Real Ariquemes / RO,30/05/2021,15:00,Elmo Serejo Farias / Brasilia
008,Rio Branco / ES,Aquidauanense / MS,30/05/2021,18:00,Kleber José de Andrade / Cariacica
009,G.A.S. / RR,Penarol / AM,06/06/2021,17:00,Flamarion Vasconcelos / Boa Vista
010,Fast Clube / AM,Ypiranga / AP,05/06/2021,17:00,Ismael Benigno / Manaus
011,Castanhal / PA,Galvez / AC,06/06/2021,15:00,Maximino Porpino Filho / Castanhal
012,Atlético / AC,São Raimundo / RR,06/06/2021,18:00,Antonio Aquino Lopes / Rio Branco
013,Galvez / AC,G.A.S. / RR,13/06/2021,20:00,Arena Acreana / Rio Branco
014,Ypiranga / AP,Atlético / AC,13/06/2021,16:00,Milton de Souza Correia / Macapa
015,Penarol / AM,Castanhal / PA,13/06/2021,16:00,Floro de Mendonça / Itacoatiara
016,São Raimundo / RR,Fast Clube / AM,12/06/2021,17:00,Flamarion Vasconcelos / Boa Vista
017,G.A.S. / RR,Ypiranga / AP,19/06/2021,17:00,Flamarion Vasconcelos / Boa Vista
018,Castanhal / PA,São Raimundo / RR,19/06/2021,15:00,Maximino Porpino Filho / Castanhal
019,Fast Clube / AM,Penarol / AM,19/06/2021,18:00,Ismael Benigno / Manaus
020,Galvez / AC,Atlético / AC,20/06/2021,18:00,Arena Acreana / Rio Branco
021,G.A.S. / RR,Castanhal / PA,26/06/2021,17:00,Flamarion Vasconcelos / Boa Vista
022,Ypiranga / AP,São Raimundo / RR,27/06/2021,16:00,Milton de Souza Correia / Macapa
023,Penarol / AM,Galvez / AC,27/06/2021,16:00,Floro de Mendonça / Itacoatiara
024,Atlético / AC,Fast Clube / AM,27/06/2021,20:00,Arena Acreana / Rio Branco
025,São Raimundo / RR,G.A.S. / RR,03/07/2021,17:00,Flamarion Vasconcelos / Boa Vista
026,Castanhal / PA,Ypiranga / AP,03/07/2021,15:00,Maximino Porpino Filho / Castanhal
027,Atlético / AC,Penarol / AM,04/07/2021,18:00,Arena Acreana / Rio Branco
028,Fast Clube / AM,Galvez / AC,03/07/2021,18:00,Ismael Benigno / Manaus
029,G.A.S. / RR,Fast Clube / AM,10/07/2021,18:00,Flamarion Vasconcelos / Boa Vista
030,Penarol / AM,Ypiranga / AP,11/07/2021,16:00,Floro de Mendonça / Itacoatiara
031,Castanhal / PA,Atlético / AC,10/07/2021,15:00,Maximino Porpino Filho / Castanhal
032,Galvez / AC,São Raimundo / RR,11/07/2021,17:00,Antonio Aquino Lopes / Rio Branco
033,Atlético / AC,G.A.S. / RR,18/07/2021,18:00,Antonio Aquino Lopes / Rio Branco
034,Ypiranga / AP,Galvez / AC,17/07/2021,16:00,Milton de Souza Correia / Macapa
035,Fast Clube / AM,Castanhal / PA,17/07/2021,17:00,Ismael Benigno / Manaus
036,São Raimundo / RR,Penarol / AM,17/07/2021,17:00,Flamarion Vasconcelos / Boa Vista
037,G.A.S. / RR,Atlético / AC,24/07/2021,18:00,Flamarion Vasconcelos / Boa Vista
038,Galvez / AC,Ypiranga / AP,25/07/2021,17:00,Arena Acreana / Rio Branco
039,Castanhal / PA,Fast Clube / AM,24/07/2021,15:00,Maximino Porpino Filho / Castanhal
040,Penarol / AM,São Raimundo / RR,25/07/2021,16:00,Floro de Mendonça / Itacoatiara
041,Fast Clube / AM,G.A.S. / RR,31/07/2021,18:00,Ismael Benigno / Manaus
042,Ypiranga / AP,Penarol / AM,01/08/2021,18:00,Milton de Souza Correia / Macapa
043,Atlético / AC,Castanhal / PA,01/08/2021,18:00,Antonio Aquino Lopes / Rio Branco
044,São Raimundo / RR,Galvez / AC,31/07/2021,17:00,Flamarion Vasconcelos / Boa Vista
045,Sampaio / RR,São Raimundo / RR,07/08/2021,18:00,Flamarion Vasconcelos / Boa Vista
046,Ypiranga / AP,Castanhal / PA,08/08/2021,18:00,Milton de Souza Correia / Macapa
047,Penarol / AM,Atlético / AC,08/08/2021,16:00,Floro de Mendonça / Itacoatiara
048,Galvez / AC,Fast Clube / AM,08/08/2021,17:00,Arena Acreana / Rio Branco
