Game,Home,Away,Date,Time,Stadium
001,Vilhena / RO,Remo / PA,12/07/2015,18:30,Portal da Amazônia / Vilhena
002,Nautico / RR,Nacional / AM,12/07/2015,17:00,Raimundo Ribeiro de Souza / Boa Vista
003,Guarani / CE,Santos / AP,12/07/2015,16:00,Mauro Castelo Branco Sampaio / Juazeiro do Norte
004,Ríver / PI,Palmas / TO,12/07/2015,17:00,Governador Alberto Tavares Silva / Teresina
005,Campinense / PB,Globo / RN,12/07/2015,16:00,José Américo de Almeida Filho / Joao Pessoa
006,Serra Talhada / PE,Colo Colo / BA,12/07/2015,16:00,Nildo Pereira de Menezes / Serra Talhada
007,Serrano / BA,Central / PE,12/07/2015,16:00,Agnaldo Bento dos Santos / Porto Seguro
008,Estanciano / SE,Treze / PB,12/07/2015,16:00,Estadual Lourival Baptista / Aracaju
009,Caldense / MG,Rio Branco / ES,12/07/2015,16:00,Ronaldo Junqueira / Poços de Caldas
010,Operário / MT,Aparecidense / GO,13/07/2015,20:30,Arena Pantanal / Cuiabá
011,Crac / GO,Villa Nova / MG,12/07/2015,16:00,Genervino Evangelista da Fonseca / Catalão
012,Gama / DF,Botafogo / SP,12/07/2015,16:00,Estádio Nacional Mané Garrincha / Brasilia
013,Resende / RJ,Operário / PR,12/07/2015,15:00,Do Trabalhador / Resende
014,Ypiranga / RS,Internacional / SC,12/07/2015,15:00,Olímpico Colosso da Lagoa / Erechim
015,São Caetano / SP,Lajeadense / RS,12/07/2015,16:00,Anacleto Campanella / Sao Caetano do Sul
016,Foz do Iguaçu / PR,Volta Redonda / RJ,12/07/2015,16:00,Estádio do ABC / Foz do Iguaçu
017,Remo / PA,Rio Branco / AC,18/07/2015,16:00,Arena Verde / Paragominas
018,Nacional / AM,Vilhena / RO,19/07/2015,17:00,Arena da Amazônia / Manaus
019,Palmas / TO,Imperatriz / MA,19/07/2015,16:00,General Sampaio / Porto Nacional
020,Santos / AP,Ríver / PI,19/07/2015,17:00,Milton de Souza Correia / Macapa
021,Colo Colo / BA,Campinense / PB,19/07/2015,16:00,Mário Pessoa / Ilhéus
