Game,Home,Away,Date,Time,Stadium
001,Ponte Preta / SP,Grêmio / RS,09/04/2022,16:30,Moisés Lucarelli / Campinas
002,CSA / AL,Criciúma / SC,04/05/2022,21:00,Rei Pelé / Maceio
003,Sport / PE,Sampaio Corrêa / MA,09/04/2022,18:30,Adelmar da Costa Carvalho / Recife
004,Brusque / SC,Guarani / SP,08/04/2022,19:00,Aderbal Ramos da Silva / Florianopolis
005,Novorizontino / SP,CRB / AL,04/05/2022,19:00,Dr. Jorge Ismael de Biasi / Novo Horizonte
006,Londrina / PR,Náutico / PE,10/04/2022,11:00,Jacy Scaff / Londrina
007,Vasco da Gama / RJ,Vila Nova / GO,08/04/2022,19:00,São Januário / Rio de Janeiro
008,Bahia / BA,Cruzeiro / MG,08/04/2022,21:30,Octávio Mangabeira / Salvador
009,Tombense / MG,Operário / PR,09/04/2022,21:00,Soares de Azevedo / Muriae
010,Chapecoense / SC,Ituano / SP,09/04/2022,16:00,Índio Condá / Chapeco
011,Guarani / SP,Sport / PE,16/04/2022,18:30,Brinco de Ouro da Princesa / Campinas
012,CRB / AL,Vasco da Gama / RJ,16/04/2022,19:00,Rei Pelé / Maceio
013,Náutico / PE,Bahia / BA,15/04/2022,21:30,Eládio de Barros Carvalho / Recife
014,Criciúma / SC,Londrina / PR,14/04/2022,20:00,Heriberto Hulse / Criciuma
015,Ituano / SP,CSA / AL,16/04/2022,16:00,Novelli Junior / Itu
016,Operário / PR,Ponte Preta / SP,16/04/2022,11:00,Germano Kruger / Ponta Grossa
017,Grêmio / RS,Chapecoense / SC,15/04/2022,19:00,Arena do Grêmio / Porto Alegre
018,Sampaio Corrêa / MA,Tombense / MG,16/04/2022,16:30,Governador João Castelo / Sao Luis
019,Cruzeiro / MG,Brusque / SC,12/04/2022,21:30,Magalhães Pinto / Belo Horizonte
020,Vila Nova / GO,Novorizontino / SP,12/04/2022,19:00,Onésio Brasileiro Alvarenga / Goiania
021,Ponte Preta / SP,CRB / AL,23/04/2022,16:00,Moisés Lucarelli / Campinas
022,CSA / AL,Bahia / BA,22/04/2022,19:00,Rei Pelé / Maceio
023,Náutico / PE,Operário / PR,24/04/2022,16:00,Eládio de Barros Carvalho / Recife
024,Criciúma / SC,Sport / PE,23/04/2022,11:00,Heriberto Hulse / Criciuma
025,Ituano / SP,Vila Nova / GO,23/04/2022,19:00,Novelli Junior / Itu
026,Londrina / PR,Novorizontino / SP,21/04/2022,19:00,Jacy Scaff / Londrina
027,Grêmio / RS,Guarani / SP,21/04/2022,16:30,Arena do Grêmio / Porto Alegre
028,Sampaio Corrêa / MA,Brusque / SC,23/04/2022,18:30,Governador João Castelo / Sao Luis
029,Tombense / MG,Cruzeiro / MG,23/04/2022,19:00,Soares de Azevedo / Muriae
030,Chapecoense / SC,Vasco da Gama / RJ,22/04/2022,21:30,Índio Condá / Chapeco
031,Guarani / SP,Criciúma / SC,27/04/2022,21:00,Brinco de Ouro da Princesa / Campinas
032,CRB / AL,Náutico / PE,27/04/2022,19:00,Rei Pelé / Maceio
033,Sport / PE,Ituano / SP,26/04/2022,19:00,Adelmar da Costa Carvalho / Recife
034,Brusque / SC,CSA / AL,26/04/2022,20:30,Augusto Bauer / Brusque
035,Novorizontino / SP,Chapecoense / SC,26/04/2022,19:00,Dr. Jorge Ismael de Biasi / Novo Horizonte
036,Operário / PR,Grêmio / RS,27/04/2022,19:00,Germano Kruger / Ponta Grossa
037,Vasco da Gama / RJ,Ponte Preta / SP,27/04/2022,21:30,São Januário / Rio de Janeiro
038,Bahia / BA,Sampaio Corrêa / MA,26/04/2022,21:30,Octávio Mangabeira / Salvador
039,Cruzeiro / MG,Londrina / PR,26/04/2022,21:30,Magalhães Pinto / Belo Horizonte
040,Vila Nova / GO,Tombense / MG,26/04/2022,20:30,Onésio Brasileiro Alvarenga / Goiania
041,Ponte Preta / SP,Brusque / SC,30/04/2022,20:30,Moisés Lucarelli / Campinas
042,CSA / AL,Sport / PE,30/04/2022,16:00,Rei Pelé / Maceio
043,Náutico / PE,Guarani / SP,03/05/2022,21:30,Eládio de Barros Carvalho / Recife
044,Criciúma / SC,Novorizontino / SP,01/05/2022,11:00,Heriberto Hulse / Criciuma
045,Ituano / SP,Bahia / BA,29/04/2022,21:30,Novelli Junior / Itu
046,Londrina / PR,Vila Nova / GO,29/04/2022,19:00,Jacy Scaff / Londrina
047,Grêmio / RS,CRB / AL,30/04/2022,16:30,Arena do Grêmio / Porto Alegre
048,Sampaio Corrêa / MA,Operário / PR,30/04/2022,16:30,Governador João Castelo / Sao Luis
049,Tombense / MG,Vasco da Gama / RJ,01/05/2022,18:00,Soares de Azevedo / Muriae
050,Chapecoense / SC,Cruzeiro / MG,30/04/2022,19:00,Índio Condá / Chapeco
051,Guarani / SP,Ponte Preta / SP,08/05/2022,16:00,Brinco de Ouro da Princesa / Campinas
052,CRB / AL,Sampaio Corrêa / MA,09/05/2022,20:00,Rei Pelé / Maceio
053,Sport / PE,Tombense / MG,06/05/2022,21:30,Adelmar da Costa Carvalho / Recife
054,Brusque / SC,Chapecoense / SC,05/05/2022,21:30,Augusto Bauer / Brusque
055,Novorizontino / SP,Ituano / SP,07/05/2022,19:00,Dr. Jorge Ismael de Biasi / Novo Horizonte
056,Operário / PR,Criciúma / SC,07/05/2022,16:30,Germano Kruger / Ponta Grossa
057,Vasco da Gama / RJ,CSA / AL,07/05/2022,19:00,São Januário / Rio de Janeiro
058,Bahia / BA,Londrina / PR,03/05/2022,19:00,Octávio Mangabeira / Salvador
059,Cruzeiro / MG,Grêmio / RS,08/05/2022,16:00,Raimundo Sampaio / Belo Horizonte
060,Vila Nova / GO,Náutico / PE,06/05/2022,19:00,Onésio Brasileiro Alvarenga / Goiania
061,Ponte Preta / SP,Novorizontino / SP,13/05/2022,19:00,Moisés Lucarelli / Campinas
062,CSA / AL,Operário / PR,14/05/2022,20:30,Rei Pelé / Maceio
063,Náutico / PE,Cruzeiro / MG,15/05/2022,16:00,Eládio de Barros Carvalho / Recife
064,Criciúma / SC,CRB / AL,14/05/2022,11:00,Heriberto Hulse / Criciuma
065,Ituano / SP,Grêmio / RS,16/05/2022,20:00,Novelli Junior / Itu
066,Londrina / PR,Brusque / SC,14/05/2022,11:00,Jacy Scaff / Londrina
067,Vasco da Gama / RJ,Bahia / BA,15/05/2022,16:00,São Januário / Rio de Janeiro
068,Sampaio Corrêa / MA,Vila Nova / GO,14/05/2022,18:30,Governador João Castelo / Sao Luis
069,Tombense / MG,Guarani / SP,14/05/2022,16:00,Soares de Azevedo / Muriae
070,Chapecoense / SC,Sport / PE,13/05/2022,21:30,Índio Condá / Chapeco
071,Guarani / SP,Vasco da Gama / RJ,19/05/2022,21:30,Arena da Amazônia / Manaus
072,CRB / AL,Londrina / PR,18/05/2022,21:30,Rei Pelé / Maceio
073,Náutico / PE,CSA / AL,19/05/2022,21:30,Eládio de Barros Carvalho / Recife
074,Brusque / SC,Tombense / MG,20/05/2022,19:00,Augusto Bauer / Brusque
075,Novorizontino / SP,Sport / PE,17/05/2022,21:30,Dr. Jorge Ismael de Biasi / Novo Horizonte
076,Operário / PR,Ituano / SP,21/05/2022,11:00,Germano Kruger / Ponta Grossa
077,Grêmio / RS,Criciúma / SC,19/05/2022,19:00,Arena do Grêmio / Porto Alegre
078,Bahia / BA,Ponte Preta / SP,20/05/2022,21:30,Octávio Mangabeira / Salvador
079,Cruzeiro / MG,Sampaio Corrêa / MA,22/05/2022,11:00,Magalhães Pinto / Belo Horizonte
080,Vila Nova / GO,Chapecoense / SC,19/05/2022,19:00,Onésio Brasileiro Alvarenga / Goiania
081,Ponte Preta / SP,Chapecoense / SC,24/05/2022,21:30,Moisés Lucarelli / Campinas
082,CSA / AL,Novorizontino / SP,28/05/2022,16:30,Rei Pelé / Maceio
083,Sport / PE,CRB / AL,24/05/2022,19:00,Arena Pernambuco Governador Carlos Wilson Campos / São Lourenço da Mata
084,Criciúma / SC,Cruzeiro / MG,27/05/2022,21:30,Heriberto Hulse / Criciuma
085,Ituano / SP,Náutico / PE,26/05/2022,21:30,Novelli Junior / Itu
086,Londrina / PR,Operário / PR,25/05/2022,19:00,Jacy Scaff / Londrina
087,Vasco da Gama / RJ,Brusque / SC,26/05/2022,19:00,São Januário / Rio de Janeiro
