Game,Home,Away
001,Guarani / SP,Avaí / SC
002,Vila Nova / GO,Novorizontino / SP
003,Criciúma / SC,Tombense / MG
004,Ituano / SP,Ceará / CE
005,Mirassol / SP,Chapecoense / SC
006,Vitória / BA,Ponte Preta / SP
007,Sampaio Corrêa / MA,Atlético / GO
008,Juventude / RS,Botafogo / SP
009,Londrina / PR,ABC / RN
010,CRB / AL,Sport / PE
011,Ponte Preta / SP,Criciúma / SC
012,Atlético / GO,CRB / AL
013,Avaí / SC,Mirassol / SP
014,Botafogo / SP,Sampaio Corrêa / MA
015,Novorizontino / SP,Juventude / RS
016,Sport / PE,Vila Nova / GO
017,Ceará / CE,Guarani / SP
018,Chapecoense / SC,Londrina / PR
019,Tombense / MG,Ituano / SP
020,ABC / RN,Vitória / BA
021,Guarani / SP,Ituano / SP
022,Vila Nova / GO,Juventude / RS
023,Criciúma / SC,Avaí / SC
024,Botafogo / SP,CRB / AL
025,Novorizontino / SP,Sport / PE
026,Vitória / BA,Londrina / PR
027,Sampaio Corrêa / MA,Mirassol / SP
028,Chapecoense / SC,Ponte Preta / SP
029,Tombense / MG,Atlético / GO
030,ABC / RN,Ceará / CE
031,Ponte Preta / SP,Botafogo / SP
032,Atlético / GO,Chapecoense / SC
033,Avaí / SC,Vila Nova / GO
034,Ituano / SP,ABC / RN
035,Mirassol / SP,Novorizontino / SP
036,Sport / PE,Tombense / MG
037,Ceará / CE,Vitória / BA
038,Juventude / RS,Guarani / SP
039,Londrina / PR,Criciúma / SC
040,CRB / AL,Sampaio Corrêa / MA
041,Ponte Preta / SP,Ceará / CE
042,Atlético / GO,Londrina / PR
043,Criciúma / SC,Ituano / SP
044,Botafogo / SP,Vitória / BA
045,Mirassol / SP,Vila Nova / GO
046,Sport / PE,Guarani / SP
047,Sampaio Corrêa / MA,Juventude / RS
048,Chapecoense / SC,Novorizontino / SP
049,Tombense / MG,Avaí / SC
050,CRB / AL,ABC / RN
051,Guarani / SP,Sampaio Corrêa / MA
052,Vila Nova / GO,Criciúma / SC
053,Avaí / SC,Chapecoense / SC
054,Ituano / SP,Sport / PE
055,Novorizontino / SP,CRB / AL
056,Vitória / BA,Atlético / GO
057,Ceará / CE,Tombense / MG
058,Juventude / RS,Mirassol / SP
059,Londrina / PR,Ponte Preta / SP
060,ABC / RN,Botafogo / SP
061,Ponte Preta / SP,Guarani / SP
062,Atlético / GO,Avaí / SC
063,Criciúma / SC,Ceará / CE
064,Ituano / SP,Novorizontino / SP
065,Mirassol / SP,Vitória / BA
066,Sport / PE,Botafogo / SP
067,Sampaio Corrêa / MA,ABC / RN
068,Chapecoense / SC,Juventude / RS
069,Tombense / MG,Londrina / PR
070,CRB / AL,Vila Nova / GO
071,Guarani / SP,Chapecoense / SC
072,Vila Nova / GO,Ituano / SP
073,Criciúma / SC,Sport / PE
074,Botafogo / SP,Mirassol / SP
075,Novorizontino / SP,Avaí / SC
076,Vitória / BA,CRB / AL
077,Sampaio Corrêa / MA,Ponte Preta / SP
078,Juventude / RS,Atlético / GO
079,Londrina / PR,Ceará / CE
080,ABC / RN,Tombense / MG
081,Ponte Preta / SP,Vila Nova / GO
082,Atlético / GO,Botafogo / SP
083,Avaí / SC,Vitória / BA
084,Ituano / SP,Londrina / PR
085,Mirassol / SP,Criciúma / SC
086,Sport / PE,ABC / RN
087,Ceará / CE,Novorizontino / SP
088,Chapecoense / SC,Sampaio Corrêa / MA
089,Tombense / MG,Guarani / SP
090,CRB / AL,Juventude / RS
091,Guarani / SP,CRB / AL
092,Vila Nova / GO,Sampaio Corrêa / MA
093,Criciúma / SC,Atlético / GO
094,Botafogo / SP,Tombense / MG
095,Mirassol / SP,Ponte Preta / SP
096,Vitória / BA,Ituano / SP
097,Ceará / CE,Chapecoense / SC
098,Juventude / RS,Avaí / SC
099,Londrina / PR,Sport / PE
100,ABC / RN,Novorizontino / SP
101,Ponte Preta / SP,ABC / RN
102,Atlético / GO,Ceará / CE
103,Criciúma / SC,Juventude / RS
104,Botafogo / SP,Ituano / SP
105,Novorizontino / SP,Guarani / SP
106,Sport / PE,Avaí / SC
107,Sampaio Corrêa / MA,Londrina / PR
108,Chapecoense / SC,Vila Nova / GO
109,Tombense / MG,Vitória / BA
110,CRB / AL,Mirassol / SP
111,Ponte Preta / SP,Sport / PE
112,Vila Nova / GO,Guarani / SP
113,Avaí / SC,Botafogo / SP
114,Ituano / SP,Atlético / GO
115,Novorizontino / SP,Sampaio Corrêa / MA
116,Vitória / BA,Criciúma / SC
117,Ceará / CE,CRB / AL
118,Juventude / RS,Tombense / MG
119,Londrina / PR,Mirassol / SP
120,ABC / RN,Chapecoense / SC
121,Guarani / SP,Vitória / BA
122,Atlético / GO,Ponte Preta / SP
123,Avaí / SC,Londrina / PR
124,Botafogo / SP,Vila Nova / GO
125,Mirassol / SP,ABC / RN
126,Sport / PE,Juventude / RS
127,Sampaio Corrêa / MA,Ceará / CE
128,Chapecoense / SC,Criciúma / SC
129,Tombense / MG,Novorizontino / SP
130,CRB / AL,Ituano / SP
131,Guarani / SP,Mirassol / SP
132,Vila Nova / GO,Tombense / MG
133,Criciúma / SC,CRB / AL
134,Ituano / SP,Ponte Preta / SP
135,Novorizontino / SP,Botafogo / SP
136,Vitória / BA,Sampaio Corrêa / MA
137,Ceará / CE,Avaí / SC
138,Chapecoense / SC,Sport / PE
139,Londrina / PR,Juventude / RS
140,ABC / RN,Atlético / GO
141,Ponte Preta / SP,Novorizontino / SP
142,Atlético / GO,Vila Nova / GO
143,Avaí / SC,ABC / RN
144,Botafogo / SP,Guarani / SP
145,Mirassol / SP,Ituano / SP
146,Sport / PE,Ceará / CE
147,Sampaio Corrêa / MA,Criciúma / SC
148,Juventude / RS,Vitória / BA
149,Tombense / MG,Chapecoense / SC
150,CRB / AL,Londrina / PR
151,Guarani / SP,Londrina / PR
152,Vila Nova / GO,Vitória / BA
153,Avaí / SC,Ponte Preta / SP
154,Ituano / SP,Juventude / RS
155,Novorizontino / SP,Atlético / GO
156,Sport / PE,Mirassol / SP
157,Ceará / CE,Botafogo / SP
158,Chapecoense / SC,CRB / AL
159,Tombense / MG,Sampaio Corrêa / MA
160,ABC / RN,Criciúma / SC
161,Ponte Preta / SP,Tombense / MG
162,Atlético / GO,Sport / PE
163,Criciúma / SC,Guarani / SP
167,Sampaio Corrêa / MA,Ituano / SP
168,Juventude / RS,ABC / RN
169,Londrina / PR,Vila Nova / GO
