Game,Home,Away,Date,Time,Stadium
001,Vila Nova / GO,Guarani / SP,22/04/2024,21:00,Onésio Brasileiro Alvarenga / Goiania
002,Ponte Preta / SP,Coritiba / PR,21/04/2024,18:00,Moisés Lucarelli / Campinas
003,Botafogo / SP,América / MG,19/04/2024,19:00,Santa Cruz / Ribeirao Preto
004,Gremio Novorizontino - / SP,CRB / AL,19/04/2024,19:00,Dr. Jorge Ismael de Biasi / Novo Horizonte
005,Santos / SP,Paysandu / PA,20/04/2024,16:30,Urbano Caldeira / Santos
006,Chapecoense / SC,Ituano / SP,20/04/2024,15:30,Índio Condá / Chapeco
007,Brusque / SC,Mirassol / SP,23/04/2024,21:00,Hercílio Luz / Itajai
008,Operário / PR,Avaí / SC,19/04/2024,21:00,Germano Kruger / Ponta Grossa
009,Amazonas / AM,Sport / PE,20/04/2024,17:00,Arena da Amazônia / Manaus
010,Ceará / CE,Goiás / GO,20/04/2024,18:00,Governador Plácido Aderaldo Castelo / Fortaleza
011,Goiás / GO,Ponte Preta / SP,28/04/2024,18:30,Hailé Pinheiro / Goiania
012,Guarani / SP,Chapecoense / SC,26/04/2024,21:00,Brinco de Ouro da Princesa / Campinas
013,Mirassol / SP,Ceará / CE,29/04/2024,19:30,José Maria de Campos Maia / Mirassol
014,Ituano / SP,Operário / PR,26/04/2024,19:00,Novelli Junior / Itu
015,América / MG,Gremio Novorizontino - / SP,27/04/2024,18:00,Raimundo Sampaio / Belo Horizonte
016,Avaí / SC,Santos / SP,26/04/2024,20:00,Aderbal Ramos da Silva / Florianopolis
017,CRB / AL,Amazonas / AM,27/04/2024,17:00,Rei Pelé / Maceio
018,Coritiba / PR,Brusque / SC,28/04/2024,16:00,Major Antônio Couto Pereira / Curitiba
019,Paysandu / PA,Botafogo / SP,27/04/2024,17:00,Olímpico do Pará / Belem
020,Sport / PE,Vila Nova / GO,26/04/2024,19:00,Arena Pernambuco Governador Carlos Wilson Campos / São Lourenço da Mata
021,Vila Nova / GO,Operário / PR,04/05/2024,18:00,Onésio Brasileiro Alvarenga / Goiania
022,Ponte Preta / SP,Amazonas / AM,06/05/2024,20:00,Moisés Lucarelli / Campinas
023,Botafogo / SP,Mirassol / SP,07/05/2024,21:00,Santa Cruz / Ribeirao Preto
024,Ituano / SP,Gremio Novorizontino - / SP,04/05/2024,21:00,Novelli Junior / Itu
025,Santos / SP,Guarani / SP,06/05/2024,21:00,Urbano Caldeira / Santos
026,Chapecoense / SC,América / MG,04/05/2024,17:00,Índio Condá / Chapeco
027,Brusque / SC,Goiás / GO,05/05/2024,16:00,Hercílio Luz / Itajai
028,Coritiba / PR,Sport / PE,03/05/2024,21:30,Major Antônio Couto Pereira / Curitiba
029,Paysandu / PA,Avaí / SC,03/05/2024,19:00,Leônidas Sobré de Castro / Belem
030,Ceará / CE,CRB / AL,06/05/2024,19:00,Presidente Vargas / Fortaleza
031,Goiás / GO,Ituano / SP,10/05/2024,21:30,Hailé Pinheiro / Goiania
032,Guarani / SP,Botafogo / SP,11/05/2024,17:00,Brinco de Ouro da Princesa / Campinas
033,Mirassol / SP,Paysandu / PA,12/05/2024,16:00,José Maria de Campos Maia / Mirassol
034,Gremio Novorizontino - / SP,Ceará / CE,10/05/2024,19:00,Dr. Jorge Ismael de Biasi / Novo Horizonte
035,América / MG,Vila Nova / GO,08/05/2024,21:00,Raimundo Sampaio / Belo Horizonte
036,Avaí / SC,Coritiba / PR,11/05/2024,21:00,Aderbal Ramos da Silva / Florianopolis
037,CRB / AL,Chapecoense / SC,10/05/2024,21:30,Rei Pelé / Maceio
038,Operário / PR,Ponte Preta / SP,11/05/2024,17:00,Germano Kruger / Ponta Grossa
039,Amazonas / AM,Santos / SP,11/05/2024,17:00,Arena da Amazônia / Manaus
040,Sport / PE,Brusque / SC,11/05/2024,17:00,Arena Pernambuco Governador Carlos Wilson Campos / São Lourenço da Mata
041,Vila Nova / GO,Gremio Novorizontino - / SP,14/05/2024,19:00,Onésio Brasileiro Alvarenga / Goiania
042,Ponte Preta / SP,Santos / SP,15/05/2024,21:30,Moisés Lucarelli / Campinas
043,Botafogo / SP,Chapecoense / SC,14/05/2024,21:30,Santa Cruz / Ribeirao Preto
044,Ituano / SP,Sport / PE,15/05/2024,19:00,Novelli Junior / Itu
045,América / MG,Mirassol / SP,15/05/2024,19:00,Raimundo Sampaio / Belo Horizonte
046,Avaí / SC,CRB / AL,14/05/2024,19:00,Aderbal Ramos da Silva / Florianopolis
047,Brusque / SC,Operário / PR,15/05/2024,19:00,Hercílio Luz / Itajai
048,Coritiba / PR,Guarani / SP,14/05/2024,21:30,Major Antônio Couto Pereira / Curitiba
049,Paysandu / PA,Goiás / GO,15/05/2024,21:30,Leônidas Sobré de Castro / Belem
050,Ceará / CE,Amazonas / AM,15/05/2024,21:30,Governador Plácido Aderaldo Castelo / Fortaleza
051,Goiás / GO,Botafogo / SP,18/05/2024,18:30,Hailé Pinheiro / Goiania
052,Guarani / SP,América / MG,20/05/2024,21:00,Brinco de Ouro da Princesa / Campinas
053,Mirassol / SP,Ituano / SP,19/05/2024,16:00,José Maria de Campos Maia / Mirassol
054,Gremio Novorizontino - / SP,Coritiba / PR,17/05/2024,21:30,Dr. Jorge Ismael de Biasi / Novo Horizonte
055,Santos / SP,Brusque / SC,19/05/2024,11:00,Urbano Caldeira / Santos
056,Chapecoense / SC,Ponte Preta / SP,21/05/2024,17:00,Índio Condá / Chapeco
057,CRB / AL,Vila Nova / GO,17/05/2024,19:00,Rei Pelé / Maceio
058,Operário / PR,Ceará / CE,19/05/2024,16:00,Germano Kruger / Ponta Grossa
059,Amazonas / AM,Paysandu / PA,18/05/2024,17:30,Arena da Amazônia / Manaus
060,Sport / PE,Avaí / SC,18/05/2024,21:00,Arena Pernambuco Governador Carlos Wilson Campos / São Lourenço da Mata
061,Vila Nova / GO,Brusque / SC,26/05/2024,17:00,Onésio Brasileiro Alvarenga / Goiania
062,Guarani / SP,Paysandu / PA,25/05/2024,21:00,Brinco de Ouro da Princesa / Campinas
063,Botafogo / SP,Gremio Novorizontino - / SP,27/05/2024,21:00,Santa Cruz / Ribeirao Preto
064,Ituano / SP,Ponte Preta / SP,26/05/2024,16:00,Novelli Junior / Itu
065,América / MG,Santos / SP,24/05/2024,21:30,Raimundo Sampaio / Belo Horizonte
