Game,Home,Away,Date,Time,Stadium
001,Moto Club / MA,Chapecoense / SC,01/03/2022,19:00,Governador João Castelo / Sao Luis
002,Icasa / CE,Tombense / MG,01/03/2022,15:30,Antônio Lírio Callou / Barbalha
003,Bahia de Feira / BA,Coritiba / PR,24/02/2022,19:00,Professor Jodilton Souza   / Feira de Santana
004,Pouso Alegre / MG,Paraná / PR,01/03/2022,19:00,Irmão Gino Maria Rossi / Pouso Alegre
005,Mirassol / SP,Grêmio / RS,01/03/2022,21:30,José Maria de Campos Maia / Mirassol
006,Azuriz / PR,Botafogo / SP,23/02/2022,19:00,Os Pioneiros / Pato Branco
007,URT / MG,Avaí / SC,22/02/2022,19:00,Zama Maciel / Patos de Minas
008,Ceilândia / DF,Londrina / PR,02/03/2022,15:30,Abadião / Ceilândia
009,União de Rondonópolis / MT,Atlético Goianiense / GO,03/03/2022,19:00,Luthero Lopes / Rondonopolis
010,Nova Venecia / ES,Ferroviário / CE,03/03/2022,15:30,Zenor Pedrosa Rocha / Nova Venecia
011,Porto Velho / RO,Juventude / RS,02/03/2022,16:30,Aluizio Pinheiro Ferreira / Porto Velho
012,Real Noroeste / ES,Operário / PR,02/03/2022,19:00,José Olimpio da Rocha / Aguia Branca
013,Ferroviária / SP,Vasco da Gama / RJ,02/03/2022,21:30,Ademar Pereira de Barros / Araraquara
014,Gremio Anapolis / GO,Juazeirense / BA,02/03/2022,20:30,Jonas Ferreira Duarte / Anapolis
015,Atlético / BA,CSA / AL,23/02/2022,21:30,Antônio Carneiro / Alagoinhas
016,Trem / AP,Paysandu / PA,02/03/2022,20:30,Milton de Souza Correia / Macapa
017,São Raimundo / RR,Ceará / CE,02/03/2022,19:00,Flamarion Vasconcelos / Boa Vista
018,Tuna Luso / PA,Novorizontino / SP,02/03/2022,15:30,Evandro Almeida / Belem
019,ASA / AL,Cuiabá / MT,23/02/2022,19:00,Coaracy da Mata Fonseca / Arapiraca
020,Lagarto / SE,Figueirense / SC,22/02/2022,16:30,Paulo Barreto de Menezes / Lagarto
021,Altos / PI,Sport / PE,02/03/2022,19:00,Lindolfo Monteiro / Teresina
022,Costa Rica / MS,ABC / RN,02/03/2022,21:00,Laerte Paes Coelho / Costa Rica
