Game,Home,Away,Date,Time,Stadium
001,Red Bull Bragantino / SP,Náutico / PE,19/04/2014,16:20,Nabi Abi Chedid / Bragança Paulista
002,Ponte Preta / SP,Icasa / CE,18/04/2014,21:50,Moisés Lucarelli / Campinas
003,Vasco da Gama / RJ,América / MG,19/04/2014,16:20,São Januário / Rio de Janeiro
004,Santa Cruz / PE,ABC / RN,19/04/2014,16:20,José do Rego Maciel / Recife
005,Sampaio Corrêa / MA,Paraná / PR,18/04/2014,19:30,Estádio Governador João Castelo / São Luis
006,Ceará / CE,Oeste / SP,19/04/2014,21:00,Governador Plácido Castelo / Fortaleza
008,Vila Nova / GO,Luverdense / MT,18/04/2014,19:30,Serra Dourada / Goiânia
009,América / RN,Avaí / SC,19/04/2014,21:00,Arena das Dunas / Natal
010,Boa / MG,Atlético / GO,19/04/2014,16:20,Dilzon Melo / Varginha
011,Oeste / SP,América / RN,26/04/2014,16:20,Estádio Municipal dos Amaros / Itápolis
012,Portuguesa / SP,Santa Cruz / PE,26/04/2014,16:20,Dr. Oswaldo Teixeira Duarte / São Paulo
013,Paraná / PR,Joinville / SC,25/04/2014,21:00,Durival Britto e Silva / Curitiba
014,Náutico / PE,Vila Nova / GO,26/04/2014,16:20,Arena Pernambuco / São Lourenço da Mata
015,Luverdense / MT,Vasco da Gama / RJ,26/04/2014,16:20,Arena Pantanal / Cuiabá
016,Icasa / CE,Sampaio Corrêa / MA,25/04/2014,19:30,Mauro Castelo Branco Sampaio / Juazeiro do Norte
017,Avaí / SC,Red Bull Bragantino / SP,22/04/2014,21:50,Aderbal Ramos da Silva / Florianópolis
018,Atlético / GO,Ponte Preta / SP,26/04/2014,16:20,Serra Dourada / Goiânia
019,ABC / RN,Boa / MG,26/04/2014,21:00,Iberezão / Santa Cruz
020,América / MG,Ceará / CE,26/04/2014,21:00,Estádio Raimundo Sampaio / Belo Horizonte
021,Red Bull Bragantino / SP,Portuguesa / SP,29/04/2014,21:50,Nabi Abi Chedid / Bragança Paulista
022,Ponte Preta / SP,Luverdense / MT,03/05/2014,16:20,Moisés Lucarelli / Campinas
023,Vasco da Gama / RJ,Atlético / GO,03/05/2014,16:20,São Januário / Rio de Janeiro
024,Santa Cruz / PE,Paraná / PR,02/05/2014,21:00,José do Rego Maciel / Recife
025,Sampaio Corrêa / MA,Oeste / SP,03/05/2014,21:00,Estádio Governador João Castelo / São Luis
026,Ceará / CE,Náutico / PE,03/05/2014,16:20,Governador Plácido Castelo / Fortaleza
027,Joinville / SC,Icasa / CE,02/05/2014,19:30,Arena Joinville / Joinville
028,Vila Nova / GO,Avaí / SC,03/05/2014,21:00,Serra Dourada / Goiânia
029,América / RN,ABC / RN,03/05/2014,16:20,Arena das Dunas / Natal
030,Boa / MG,América / MG,03/05/2014,16:20,Dilzon Melo / Varginha
031,Red Bull Bragantino / SP,América / MG,10/05/2014,21:00,Nabi Abi Chedid / Bragança Paulista
032,Ponte Preta / SP,ABC / RN,10/05/2014,16:20,Moisés Lucarelli / Campinas
033,Vasco da Gama / RJ,Oeste / SP,10/05/2014,16:20,São Januário / Rio de Janeiro
034,Santa Cruz / PE,Luverdense / MT,10/05/2014,16:20,Arena Pernambuco / São Lourenço da Mata
035,Sampaio Corrêa / MA,Avaí / SC,07/06/2014,16:20,Estádio Governador João Castelo / São Luis
036,Ceará / CE,Paraná / PR,10/05/2014,21:00,Governador Plácido Castelo / Fortaleza
037,Joinville / SC,Náutico / PE,10/05/2014,16:20,Arena Joinville / Joinville
038,Vila Nova / GO,Icasa / CE,09/05/2014,21:00,Serra Dourada / Goiânia
039,América / RN,Atlético / GO,10/05/2014,16:20,Arena das Dunas / Natal
040,Boa / MG,Portuguesa / SP,06/05/2014,21:50,Dilzon Melo / Varginha
041,Oeste / SP,Ponte Preta / SP,13/05/2014,21:50,Estádio Municipal dos Amaros / Itápolis
042,Portuguesa / SP,América / RN,17/05/2014,16:20,Dr. Oswaldo Teixeira Duarte / São Paulo
043,Paraná / PR,Boa / MG,16/05/2014,21:00,Durival Britto e Silva / Curitiba
044,Náutico / PE,Vasco da Gama / RJ,12/08/2014,21:00,Arena Pernambuco / São Lourenço da Mata
045,Luverdense / MT,Red Bull Bragantino / SP,17/05/2014,21:00,Municipal Passo das Emas / Lucas do R. Verde
046,Icasa / CE,Santa Cruz / PE,17/05/2014,16:20,Mauro Castelo Branco Sampaio / Juazeiro do Norte
047,Avaí / SC,Ceará / CE,17/05/2014,16:20,Aderbal Ramos da Silva / Florianópolis
048,Atlético / GO,Joinville / SC,17/05/2014,21:00,Serra Dourada / Goiânia
049,ABC / RN,Sampaio Corrêa / MA,17/05/2014,16:20,Iberezão / Santa Cruz
050,América / MG,Vila Nova / GO,17/05/2014,16:20,Estádio Raimundo Sampaio / Belo Horizonte
051,Oeste / SP,Santa Cruz / PE,20/05/2014,19:30,Estádio Municipal dos Amaros / Itápolis
052,Ponte Preta / SP,Vila Nova / GO,20/05/2014,19:30,Moisés Lucarelli / Campinas
053,Vasco da Gama / RJ,Sampaio Corrêa / MA,20/05/2014,21:50,Governador Alberto Tavares Silva / Teresina
054,Náutico / PE,Portuguesa / SP,20/05/2014,21:50,Arena Pernambuco / São Lourenço da Mata
055,Luverdense / MT,Boa / MG,20/05/2014,21:50,Municipal Passo das Emas / Lucas do R. Verde
