Game,Home,Away
167,Guarani / SC,Cabofriense / RJ
168,Brasil / RS,Ituano / SP
169,Boavista / RJ,Metropolitano / SC
170,Penapolense / SP,Pelotas / RS
171,Central / PE,Confiança / SE
172,Metropolitano / SC,Tombense / MG
173,Santos / AP,Londrina / PR
174,Ituano / SP,Moto Club / MA
175,Anapolina / GO,Rio Branco / AC
176,Remo / PA,Brasiliense / DF
177,Operário / MT,Brasil / RS
178,Globo / RN,Jacuipense / BA
179,Confiança / SE,Central / PE
180,Tombense / MG,Metropolitano / SC
181,Londrina / PR,Santos / AP
182,Moto Club / MA,Ituano / SP
183,Rio Branco / AC,Anapolina / GO
184,Brasiliense / DF,Remo / PA
185,Brasil / RS,Operário / MT
186,Jacuipense / BA,Globo / RN
187,Anapolina / GO,Londrina / PR
188,Jacuipense / BA,Confiança / SE
189,Moto Club / MA,Tombense / MG
190,Brasil / RS,Brasiliense / DF
191,Londrina / PR,Anapolina / GO
192,Confiança / SE,Jacuipense / BA
193,Tombense / MG,Moto Club / MA
194,Brasiliense / DF,Brasil / RS
195,Brasil / RS,Londrina / PR
196,Tombense / MG,Confiança / SE
197,Londrina / PR,Brasil / RS
198,Confiança / SE,Tombense / MG
199,Brasil / RS,Tombense / MG
200,Tombense / MG,Brasil / RS
