Game,Home,Away,Date,Time,Stadium
161,Brasiliense / DF,URT / MG,01/06/2019,15:30,Elmo Serejo Farias / Brasilia
162,Ituano / SP,Serra / ES,01/06/2019,16:00,Novelli Junior / Itu
163,Itaborai / RJ,Tupi / MG,01/06/2019,15:00,Alziro de Almeira / Itaborai
164,Hercilio Luz / SC,Novorizontino / SP,02/06/2019,16:00,Aníbal Torres Costa / Tubarao
165,Gaúcho / RS,Boavista / RJ,05/06/2019,15:00,Wolmar Salton / Passo Fundo
166,Brusque / SC,Foz do Iguaçu / PR,03/06/2019,20:00,Augusto Bauer / Brusque
167,Cianorte / PR,São Caetano / SP,02/06/2019,16:00,Albino Turbay / Cianorte
168,Caxias / RS,Tubarão / SC,02/06/2019,16:00,Francisco Stédile / Caxias do Sul
169,Ferroviária / SP,Avenida / RS,01/06/2019,18:00,Ademar Pereira de Barros / Araraquara
170,Maringá / PR,Joinville / SC,01/06/2019,17:00,Willie Davids / Maringa
171,Rio Branco / AC,Barcelona / RO,09/06/2019,18:00,Arena da Floresta / Rio Branco
172,São Raimundo / RR,Fast Clube / AM,09/06/2019,18:00,Raimundo Ribeiro de Souza / Boa Vista
173,Manaus / AM,Santos / AP,09/06/2019,18:00,Ismael Benigno / Manaus
174,Real Desportivo / RO,Galvez / AC,09/06/2019,18:00,Gentil Valério de Lima / Ariquemes
175,Moto Club / MA,Atlético / RR,09/06/2019,18:00,Governador João Castelo / Sao Luis
176,Ypiranga / AP,São Raimundo / PA,09/06/2019,18:00,Milton de Souza Correia / Macapa
177,Bragantino / PA,Ríver / PI,09/06/2019,18:00,Olímpico do Pará / Belem
178,Floresta / CE,Santa Cruz / RN,09/06/2019,18:00,Presidente Vargas / Fortaleza
179,Central / PE,Atlético / CE,09/06/2019,18:00,Luíz José de Lacerda / Caruaru
180,Altos / PI,Maranhão / MA,09/06/2019,18:00,Lindolfo Monteiro / Teresina
181,América / RN,Serrano / PB,09/06/2019,18:00,Arena das Dunas / Natal
182,Bahia de Feira / BA,América / PE,09/06/2019,18:00,Estádio Professor Jodilton Souza / Feira de Santana
183,ASA / AL,Jacuipense / BA,09/06/2019,18:00,Coaracy da Mata Fonseca / Arapiraca
184,Campinense / PB,Vitória / PE,06/06/2019,20:00,Ernani Sátyro / Campina Grande
185,Salgueiro / PE,Fluminense de Feira / BA,09/06/2019,18:00,Cornélio de Barros Muniz / Salgueiro
186,Sergipe / SE,Coruripe / AL,08/06/2019,15:00,Lourival Baptista / Aracaju
187,Aparecidense / GO,Itabaiana / SE,09/06/2019,18:00,Anibal Batista de Toledo / Aparecida de Goiania
188,Juazeirense / BA,Interporto / TO,09/06/2019,18:00,Adauto Moraes / Juazeiro
189,Palmas / TO,Corumbaense / MS,09/06/2019,18:00,Nilton Santos / Palmas
190,Sinop / MT,Ipora / GO,09/06/2019,18:00,Massami Uriu / Sinop
191,Anapolina / GO,União de Rondonópolis / MT,09/06/2019,18:00,Jonas Ferreira Duarte / Anapolis
192,Operário / MS,Atlético Patrocinense / MG,09/06/2019,18:00,Iliê Vidal / Rio Brilhante
193,Sobradinho / DF,Vitória / ES,09/06/2019,18:00,José Roriz Aguiar / Luziania
194,Portuguesa / RJ,Caldense / MG,09/06/2019,18:00,São Januário / Rio de Janeiro
195,URT / MG,Ituano / SP,09/06/2019,18:00,Zama Maciel / Patos de Minas
196,Serra / ES,Brasiliense / DF,09/06/2019,18:00,Roberto Costa / Serra
197,Tupi / MG,Hercilio Luz / SC,09/06/2019,18:00,Mario Helênio / Juiz de Fora
198,Novorizontino / SP,Itaborai / RJ,09/06/2019,18:00,Dr. Jorge Ismael de Biasi / Novo Horizonte
199,Boavista / RJ,Brusque / SC,09/06/2019,18:00,Elcyr Resende de Mendonça / Saquarema
200,Foz do Iguaçu / PR,Gaúcho / RS,09/06/2019,18:00,Estádio do Abc / Foz do Iguacu
201,São Caetano / SP,Caxias / RS,09/06/2019,18:00,Anacleto Campanella / Sao Caetano do Sul
202,Tubarão / SC,Cianorte / PR,09/06/2019,18:00,Domingos Silveira Gonzalez / Tubarao
203,Avenida / RS,Maringá / PR,09/06/2019,18:00,Eucaliptos / Santa Cruz do Sul
204,Joinville / SC,Ferroviária / SP,09/06/2019,18:00,Arena Joinville / Joinville
205,Vitória / ES,Brasiliense / DF,15/06/2019,15:00,Salvador Venâncio da Costa / Vitoria
206,Central / PE,Jacuipense / BA,15/06/2019,16:00,Luíz José de Lacerda / Caruaru
207,Juazeirense / BA,Atlético Patrocinense / MG,15/06/2019,16:00,Adauto Moraes / Juazeiro
208,Ferroviária / SP,Cianorte / PR,15/06/2019,17:00,Ademar Pereira de Barros / Araraquara
209,Salgueiro / PE,Fluminense de Feira / BA,15/06/2019,20:00,Cornélio de Barros Muniz / Salgueiro
210,Bragantino / PA,Atlético / CE,16/06/2019,15:00,São Benedito / Braganca
211,Boavista / RJ,Novorizontino / SP,16/06/2019,15:30,Elcyr Resende de Mendonça / Saquarema
