Game,Home,Away,Date,Time,Stadium
001,Guarani / SP,Figueirense / SC,27/04/2019,16:30,Brinco de Ouro da Princesa / Campinas
002,Botafogo / SP,Vitória / BA,27/04/2019,11:00,Santa Cruz / Ribeirao Preto
003,São Bento / SP,Atlético / GO,26/04/2019,21:30,Walter Ribeiro / Sorocaba
004,Vila Nova / GO,Paraná / PR,27/04/2019,21:00,Olímpico Pedro Ludovico / Goiania
005,Coritiba / PR,Ponte Preta / SP,29/04/2019,20:00,Major Antônio Couto Pereira / Curitiba
006,Operário / PR,América / MG,26/04/2019,19:15,Germano Kruger / Ponta Grossa
007,Criciúma / SC,Cuiabá / MT,27/04/2019,16:30,Heriberto Hulse / Criciuma
008,Brasil / RS,Red Bull Bragantino / SP,26/04/2019,19:15,Bento da Silva Freitas / Pelotas
009,Sport / PE,Oeste / SP,26/04/2019,21:30,Adelmar da Costa Carvalho / Recife
010,CRB / AL,Londrina / PR,28/04/2019,16:00,Rei Pelé / Maceio
011,Ponte Preta / SP,Criciúma / SC,02/05/2019,21:00,Moisés Lucarelli / Campinas
012,Red Bull Bragantino / SP,Sport / PE,06/05/2019,20:00,Nabi Abi Chedid / Braganca Paulista
013,Oeste / SP,Guarani / SP,01/05/2019,16:00,Arena Barueri / Barueri
014,Atlético / GO,Coritiba / PR,03/05/2019,21:30,Antônio Accioly / Goiania
015,Paraná / PR,CRB / AL,04/05/2019,19:00,Durival Britto e Silva / Curitiba
016,Londrina / PR,Brasil / RS,03/05/2019,19:15,Jacy Scaff / Londrina
017,Figueirense / SC,São Bento / SP,04/05/2019,11:00,Orlando Scarpelli / Florianopolis
018,América / MG,Botafogo / SP,30/04/2019,21:30,Raimundo Sampaio / Belo Horizonte
019,Vitória / BA,Vila Nova / GO,04/05/2019,16:30,Manoel Barradas / Salvador
020,Cuiabá / MT,Operário / PR,04/05/2019,19:00,Arena Pantanal / Cuiaba
021,Guarani / SP,Vitória / BA,13/05/2019,20:00,Brinco de Ouro da Princesa / Campinas
022,Red Bull Bragantino / SP,Atlético / GO,10/05/2019,19:15,Nabi Abi Chedid / Braganca Paulista
023,São Bento / SP,Botafogo / SP,09/05/2019,19:15,Walter Ribeiro / Sorocaba
024,Vila Nova / GO,Ponte Preta / SP,10/05/2019,21:30,Serra Dourada / Goiania
025,Coritiba / PR,Londrina / PR,09/05/2019,21:30,Major Antônio Couto Pereira / Curitiba
026,Operário / PR,Oeste / SP,11/05/2019,19:00,Germano Kruger / Ponta Grossa
027,Criciúma / SC,América / MG,11/05/2019,11:00,Heriberto Hulse / Criciuma
028,Brasil / RS,CRB / AL,11/05/2019,19:00,Bento da Silva Freitas / Pelotas
029,Sport / PE,Figueirense / SC,11/05/2019,16:30,Adelmar da Costa Carvalho / Recife
030,Cuiabá / MT,Paraná / PR,11/05/2019,19:00,Arena Pantanal / Cuiaba
031,Ponte Preta / SP,Operário / PR,17/05/2019,21:30,Moisés Lucarelli / Campinas
032,Botafogo / SP,Vila Nova / GO,18/05/2019,19:00,Santa Cruz / Ribeirao Preto
033,Oeste / SP,Cuiabá / MT,14/05/2019,19:15,Arena Barueri / Barueri
034,Atlético / GO,Criciúma / SC,17/05/2019,19:15,Antônio Accioly / Goiania
035,Paraná / PR,Guarani / SP,18/05/2019,16:30,Durival Britto e Silva / Curitiba
036,Londrina / PR,Red Bull Bragantino / SP,18/05/2019,11:00,Jacy Scaff / Londrina
037,Figueirense / SC,Brasil / RS,14/05/2019,21:30,Orlando Scarpelli / Florianopolis
038,América / MG,Sport / PE,19/05/2019,16:00,Raimundo Sampaio / Belo Horizonte
039,Vitória / BA,São Bento / SP,18/05/2019,16:30,Manoel Barradas / Salvador
040,CRB / AL,Coritiba / PR,20/05/2019,20:00,Rei Pelé / Maceio
041,Ponte Preta / SP,Paraná / PR,25/05/2019,16:30,Moisés Lucarelli / Campinas
042,Red Bull Bragantino / SP,Figueirense / SC,21/05/2019,21:30,Nabi Abi Chedid / Braganca Paulista
043,São Bento / SP,Oeste / SP,25/05/2019,16:30,Walter Ribeiro / Sorocaba
044,Atlético / GO,Vitória / BA,26/05/2019,16:00,Antônio Accioly / Goiania
045,Coritiba / PR,Cuiabá / MT,25/05/2019,11:00,Major Antônio Couto Pereira / Curitiba
046,Operário / PR,Botafogo / SP,25/05/2019,19:00,Germano Kruger / Ponta Grossa
047,Criciúma / SC,Guarani / SP,21/05/2019,19:15,Heriberto Hulse / Criciuma
048,Brasil / RS,América / MG,25/05/2019,19:00,Bento da Silva Freitas / Pelotas
049,Sport / PE,Londrina / PR,24/05/2019,21:30,Adelmar da Costa Carvalho / Recife
050,CRB / AL,Vila Nova / GO,24/05/2019,19:15,Rei Pelé / Maceio
051,Guarani / SP,Brasil / RS,28/05/2019,21:30,Brinco de Ouro da Princesa / Campinas
052,Botafogo / SP,Criciúma / SC,01/06/2019,16:30,Santa Cruz / Ribeirao Preto
053,São Bento / SP,CRB / AL,31/05/2019,20:30,Walter Ribeiro / Sorocaba
054,Vila Nova / GO,Londrina / PR,01/06/2019,16:30,Serra Dourada / Goiania
055,Paraná / PR,Oeste / SP,01/06/2019,11:00,Durival Britto e Silva / Curitiba
056,Operário / PR,Sport / PE,28/05/2019,19:15,Germano Kruger / Ponta Grossa
057,Figueirense / SC,Atlético / GO,31/05/2019,19:15,Orlando Scarpelli / Florianopolis
058,América / MG,Coritiba / PR,03/06/2019,20:00,Raimundo Sampaio / Belo Horizonte
059,Vitória / BA,Red Bull Bragantino / SP,31/05/2019,21:30,Manoel Barradas / Salvador
060,Cuiabá / MT,Ponte Preta / SP,01/06/2019,19:00,Arena Pantanal / Cuiaba
061,Ponte Preta / SP,Botafogo / SP,07/06/2019,21:30,Moisés Lucarelli / Campinas
062,Red Bull Bragantino / SP,São Bento / SP,04/06/2019,19:00,Nabi Abi Chedid / Braganca Paulista
063,Oeste / SP,Figueirense / SC,08/06/2019,11:00,Arena Barueri / Barueri
064,Atlético / GO,Guarani / SP,06/06/2019,19:15,Antônio Accioly / Goiania
065,Coritiba / PR,Paraná / PR,08/06/2019,18:00,Major Antônio Couto Pereira / Curitiba
066,Londrina / PR,Cuiabá / MT,07/06/2019,19:15,Jacy Scaff / Londrina
067,Criciúma / SC,Vila Nova / GO,08/06/2019,16:30,Heriberto Hulse / Criciuma
068,Brasil / RS,Operário / PR,08/06/2019,16:30,Bento da Silva Freitas / Pelotas
069,Sport / PE,Vitória / BA,08/06/2019,20:30,Adelmar da Costa Carvalho / Recife
070,CRB / AL,América / MG,08/06/2019,20:30,Rei Pelé / Maceio
071,Guarani / SP,Coritiba / PR,11/06/2019,21:30,Brinco de Ouro da Princesa / Campinas
072,Red Bull Bragantino / SP,América / MG,11/06/2019,20:30,Nabi Abi Chedid / Braganca Paulista
073,Oeste / SP,Vitória / BA,11/06/2019,20:30,Arena Barueri / Barueri
074,Vila Nova / GO,São Bento / SP,11/06/2019,19:15,Olímpico Pedro Ludovico / Goiania
075,Paraná / PR,Operário / PR,11/06/2019,21:30,Durival Britto e Silva / Curitiba
076,Londrina / PR,Ponte Preta / SP,10/06/2019,20:00,Jacy Scaff / Londrina
077,Figueirense / SC,Botafogo / SP,11/06/2019,19:15,Orlando Scarpelli / Florianopolis
078,Brasil / RS,Criciúma / SC,11/06/2019,19:15,Bento da Silva Freitas / Pelotas
079,Sport / PE,CRB / AL,11/06/2019,21:30,Adelmar da Costa Carvalho / Recife
080,Cuiabá / MT,Atlético / GO,11/06/2019,20:30,Arena Pantanal / Cuiaba
081,Ponte Preta / SP,Oeste / SP,12/07/2019,21:30,Moisés Lucarelli / Campinas
082,Botafogo / SP,Brasil / RS,13/07/2019,18:00,Santa Cruz / Ribeirao Preto
083,São Bento / SP,Sport / PE,08/07/2019,20:00,Walter Ribeiro / Sorocaba
084,Atlético / GO,Vila Nova / GO,13/07/2019,16:30,Antônio Accioly / Goiania
085,Paraná / PR,Red Bull Bragantino / SP,13/07/2019,19:00,Durival Britto e Silva / Curitiba
086,Operário / PR,Londrina / PR,13/07/2019,19:00,Germano Kruger / Ponta Grossa
087,Criciúma / SC,Coritiba / PR,09/07/2019,21:30,Heriberto Hulse / Criciuma
088,América / MG,Figueirense / SC,13/07/2019,11:00,Raimundo Sampaio / Belo Horizonte
089,Vitória / BA,Cuiabá / MT,09/07/2019,19:15,Manoel Barradas / Salvador
090,CRB / AL,Guarani / SP,12/07/2019,19:15,Rei Pelé / Maceio
091,Ponte Preta / SP,Atlético / GO,16/07/2019,21:30,Moisés Lucarelli / Campinas
092,Botafogo / SP,Guarani / SP,20/07/2019,19:00,Santa Cruz / Ribeirao Preto
093,Oeste / SP,Red Bull Bragantino / SP,20/07/2019,11:00,Novelli Junior / Itu
094,Vila Nova / GO,América / MG,20/07/2019,16:30,Serra Dourada / Goiania
095,Coritiba / PR,São Bento / SP,16/07/2019,19:15,Major Antônio Couto Pereira / Curitiba
096,Operário / PR,CRB / AL,20/07/2019,19:00,Germano Kruger / Ponta Grossa
097,Figueirense / SC,Londrina / PR,19/07/2019,19:15,Orlando Scarpelli / Florianopolis
098,Brasil / RS,Paraná / PR,18/07/2019,21:30,Bento da Silva Freitas / Pelotas
099,Vitória / BA,Criciúma / SC,19/07/2019,21:30,Manoel Barradas / Salvador
100,Cuiabá / MT,Sport / PE,15/07/2019,20:00,Arena Pantanal / Cuiaba
101,Guarani / SP,Cuiabá / MT,23/07/2019,19:15,Brinco de Ouro da Princesa / Campinas
102,Red Bull Bragantino / SP,Ponte Preta / SP,23/07/2019,20:30,Nabi Abi Chedid / Braganca Paulista
103,São Bento / SP,Operário / PR,23/07/2019,19:15,Walter Ribeiro / Sorocaba
104,Atlético / GO,Botafogo / SP,23/07/2019,20:30,Antônio Accioly / Goiania
105,Coritiba / PR,Vila Nova / GO,23/07/2019,19:15,Major Antônio Couto Pereira / Curitiba
106,Londrina / PR,Vitória / BA,23/07/2019,21:30,Jacy Scaff / Londrina
107,Figueirense / SC,Paraná / PR,23/07/2019,19:15,Orlando Scarpelli / Florianopolis
108,América / MG,Oeste / SP,23/07/2019,21:30,Raimundo Sampaio / Belo Horizonte
109,Sport / PE,Brasil / RS,22/07/2019,20:00,Adelmar da Costa Carvalho / Recife
110,CRB / AL,Criciúma / SC,23/07/2019,21:30,Rei Pelé / Maceio
111,Guarani / SP,São Bento / SP,26/07/2019,20:30,Brinco de Ouro da Princesa / Campinas
112,Botafogo / SP,CRB / AL,26/07/2019,20:30,Santa Cruz / Ribeirao Preto
113,Oeste / SP,Londrina / PR,27/07/2019,16:30,Arena Barueri / Barueri
114,Vila Nova / GO,Red Bull Bragantino / SP,27/07/2019,19:00,Serra Dourada / Goiania
115,Paraná / PR,Sport / PE,26/07/2019,21:30,Durival Britto e Silva / Curitiba
116,Operário / PR,Coritiba / PR,26/07/2019,19:15,Germano Kruger / Ponta Grossa
117,Criciúma / SC,Figueirense / SC,27/07/2019,11:00,Heriberto Hulse / Criciuma
118,América / MG,Atlético / GO,26/07/2019,19:15,Raimundo Sampaio / Belo Horizonte
119,Vitória / BA,Ponte Preta / SP,27/07/2019,16:30,Manoel Barradas / Salvador
120,Cuiabá / MT,Brasil / RS,27/07/2019,19:00,Arena Pantanal / Cuiaba
121,Ponte Preta / SP,América / MG,30/07/2019,20:30,Moisés Lucarelli / Campinas
122,Red Bull Bragantino / SP,Cuiabá / MT,30/07/2019,21:30,Nabi Abi Chedid / Braganca Paulista
123,São Bento / SP,Criciúma / SC,30/07/2019,20:30,Walter Ribeiro / Sorocaba
