Game,Home,Away
139,Tombense / MG,Náutico / PE
140,Chapecoense / SC,CRB / AL
141,Guarani / SP,Ituano / SP
142,CRB / AL,Tombense / MG
143,Náutico / PE,Criciúma / SC
144,Brusque / SC,Bahia / BA
145,Novorizontino / SP,Vasco da Gama / RJ
146,Operário / PR,Chapecoense / SC
147,Grêmio / RS,Londrina / PR
148,Sampaio Corrêa / MA,CSA / AL
149,Cruzeiro / MG,Sport / PE
150,Vila Nova / GO,Ponte Preta / SP
151,Ponte Preta / SP,Tombense / MG
152,CRB / AL,Guarani / SP
153,Náutico / PE,Novorizontino / SP
154,Brusque / SC,Operário / PR
155,Ituano / SP,Criciúma / SC
156,Londrina / PR,CSA / AL
157,Vasco da Gama / RJ,Sport / PE
158,Bahia / BA,Grêmio / RS
159,Cruzeiro / MG,Vila Nova / GO
160,Chapecoense / SC,Sampaio Corrêa / MA
161,Guarani / SP,Cruzeiro / MG
162,CSA / AL,Ponte Preta / SP
163,Sport / PE,Londrina / PR
164,Criciúma / SC,Vasco da Gama / RJ
165,Novorizontino / SP,Brusque / SC
166,Operário / PR,CRB / AL
167,Grêmio / RS,Náutico / PE
168,Sampaio Corrêa / MA,Ituano / SP
169,Tombense / MG,Chapecoense / SC
170,Vila Nova / GO,Bahia / BA
171,Guarani / SP,Bahia / BA
172,CRB / AL,Brusque / SC
173,Náutico / PE,Chapecoense / SC
174,Criciúma / SC,Ponte Preta / SP
175,Ituano / SP,Londrina / PR
176,Operário / PR,Sport / PE
177,Grêmio / RS,Tombense / MG
178,Sampaio Corrêa / MA,Vasco da Gama / RJ
179,Cruzeiro / MG,Novorizontino / SP
180,Vila Nova / GO,CSA / AL
181,Ponte Preta / SP,Náutico / PE
182,CSA / AL,Cruzeiro / MG
183,Sport / PE,Vila Nova / GO
184,Brusque / SC,Grêmio / RS
185,Novorizontino / SP,Operário / PR
186,Londrina / PR,Sampaio Corrêa / MA
187,Vasco da Gama / RJ,Ituano / SP
188,Bahia / BA,CRB / AL
189,Tombense / MG,Criciúma / SC
190,Chapecoense / SC,Guarani / SP
191,Guarani / SP,Brusque / SC
192,CRB / AL,Novorizontino / SP
193,Náutico / PE,Londrina / PR
194,Criciúma / SC,CSA / AL
195,Ituano / SP,Chapecoense / SC
196,Operário / PR,Tombense / MG
197,Grêmio / RS,Ponte Preta / SP
198,Sampaio Corrêa / MA,Sport / PE
199,Cruzeiro / MG,Bahia / BA
200,Vila Nova / GO,Vasco da Gama / RJ
201,Ponte Preta / SP,Operário / PR
202,CSA / AL,Ituano / SP
203,Sport / PE,Guarani / SP
204,Brusque / SC,Cruzeiro / MG
205,Novorizontino / SP,Vila Nova / GO
206,Londrina / PR,Criciúma / SC
207,Vasco da Gama / RJ,CRB / AL
208,Bahia / BA,Náutico / PE
209,Tombense / MG,Sampaio Corrêa / MA
210,Chapecoense / SC,Grêmio / RS
211,Guarani / SP,Grêmio / RS
212,CRB / AL,Ponte Preta / SP
213,Sport / PE,Criciúma / SC
214,Brusque / SC,Sampaio Corrêa / MA
215,Novorizontino / SP,Londrina / PR
216,Operário / PR,Náutico / PE
217,Vasco da Gama / RJ,Chapecoense / SC
218,Bahia / BA,CSA / AL
219,Cruzeiro / MG,Tombense / MG
220,Vila Nova / GO,Ituano / SP
221,Ponte Preta / SP,Vasco da Gama / RJ
222,CSA / AL,Brusque / SC
223,Náutico / PE,CRB / AL
224,Criciúma / SC,Guarani / SP
225,Ituano / SP,Sport / PE
226,Londrina / PR,Cruzeiro / MG
227,Grêmio / RS,Operário / PR
228,Sampaio Corrêa / MA,Bahia / BA
229,Tombense / MG,Vila Nova / GO
230,Chapecoense / SC,Novorizontino / SP
231,Guarani / SP,Náutico / PE
232,CRB / AL,Grêmio / RS
233,Sport / PE,CSA / AL
234,Brusque / SC,Ponte Preta / SP
235,Novorizontino / SP,Criciúma / SC
236,Operário / PR,Sampaio Corrêa / MA
237,Vasco da Gama / RJ,Tombense / MG
238,Bahia / BA,Ituano / SP
239,Cruzeiro / MG,Chapecoense / SC
240,Vila Nova / GO,Londrina / PR
241,Ponte Preta / SP,Guarani / SP
242,CSA / AL,Vasco da Gama / RJ
243,Náutico / PE,Vila Nova / GO
244,Criciúma / SC,Operário / PR
245,Ituano / SP,Novorizontino / SP
246,Londrina / PR,Bahia / BA
247,Grêmio / RS,Cruzeiro / MG
248,Sampaio Corrêa / MA,CRB / AL
249,Tombense / MG,Sport / PE
250,Chapecoense / SC,Brusque / SC
251,Guarani / SP,Tombense / MG
252,CRB / AL,Criciúma / SC
253,Sport / PE,Chapecoense / SC
254,Brusque / SC,Londrina / PR
255,Novorizontino / SP,Ponte Preta / SP
256,Operário / PR,CSA / AL
257,Grêmio / RS,Ituano / SP
258,Bahia / BA,Vasco da Gama / RJ
259,Cruzeiro / MG,Náutico / PE
260,Vila Nova / GO,Sampaio Corrêa / MA
261,Ponte Preta / SP,Bahia / BA
262,CSA / AL,Náutico / PE
263,Sport / PE,Novorizontino / SP
264,Criciúma / SC,Grêmio / RS
265,Ituano / SP,Operário / PR
266,Londrina / PR,CRB / AL
267,Vasco da Gama / RJ,Guarani / SP
268,Sampaio Corrêa / MA,Cruzeiro / MG
269,Tombense / MG,Brusque / SC
270,Chapecoense / SC,Vila Nova / GO
271,Guarani / SP,Sampaio Corrêa / MA
272,CRB / AL,Sport / PE
273,Náutico / PE,Ituano / SP
274,Brusque / SC,Vasco da Gama / RJ
275,Novorizontino / SP,CSA / AL
276,Operário / PR,Londrina / PR
277,Grêmio / RS,Vila Nova / GO
278,Bahia / BA,Tombense / MG
279,Cruzeiro / MG,Criciúma / SC
280,Chapecoense / SC,Ponte Preta / SP
