Game,Home,Away,Date,Time,Stadium
167,Internacional / RS,Vasco da Gama / RJ,27/07/2025,18:30,José Pinheiro Borda / Porto Alegre
168,Bahia / BA,Juventude / RS,27/07/2025,18:30,Octávio Mangabeira / Salvador
169,Fortaleza Ec / CE,Red Bull Bragantino / SP,26/07/2025,18:30,Governador Plácido Aderaldo Castelo / Fortaleza
170,Sport / PE,Santos / SP,26/07/2025,18:30,Adelmar da Costa Carvalho / Recife
171,Fluminense / RJ,Grêmio / RS,02/08/2025,21:00,Jornalista Mário Filho / Rio de Janeiro
172,Botafogo / RJ,Cruzeiro / MG,03/08/2025,16:00,Nilton Santos / Rio de Janeiro
173,Corinthians / SP,Fortaleza Ec / CE,03/08/2025,16:00,Arena Corinthians / Sao Paulo
174,Santos / SP,Juventude / RS,04/08/2025,20:00,Cícero Pompeu de Toledo / Sao Paulo
175,Mirassol / SP,Vasco da Gama / RJ,02/08/2025,18:30,José Maria de Campos Maia / Mirassol
176,Atlético Mineiro / MG,Red Bull Bragantino / SP,03/08/2025,18:30,ARENA MRV / Belo Horizonte
177,Internacional / RS,São Paulo / SP,03/08/2025,20:30,José Pinheiro Borda / Porto Alegre
178,Vitória / BA,Palmeiras / SP,03/08/2025,19:30,Manoel Barradas / Salvador
179,Ceará / CE,Flamengo / RJ,03/08/2025,18:30,Governador Plácido Aderaldo Castelo / Fortaleza
180,Sport / PE,Bahia / BA,02/08/2025,16:00,Adelmar da Costa Carvalho / Recife
181,Flamengo / RJ,Mirassol / SP,09/08/2025,18:30,Jornalista Mário Filho / Rio de Janeiro
182,Vasco da Gama / RJ,Atlético Mineiro / MG,10/08/2025,16:00,São Januário / Rio de Janeiro
183,Palmeiras / SP,Ceará / CE,10/08/2025,16:00,Allianz Parque / Sao Paulo
184,São Paulo / SP,Vitória / BA,09/08/2025,18:30,Cícero Pompeu de Toledo / Sao Paulo
185,Red Bull Bragantino / SP,Internacional / RS,09/08/2025,18:30,Estádio Municipal Cícero de Souza Marques / Braganca Paulista
186,Cruzeiro / MG,Santos / SP,10/08/2025,18:30,Magalhães Pinto / Belo Horizonte
187,Grêmio / RS,Sport / PE,10/08/2025,20:30,Arena do Grêmio / Porto Alegre
188,Bahia / BA,Fluminense / RJ,09/08/2025,21:00,Octávio Mangabeira / Salvador
189,Fortaleza Ec / CE,Botafogo / RJ,09/08/2025,20:30,Governador Plácido Aderaldo Castelo / Fortaleza
190,Juventude / RS,Corinthians / SP,11/08/2025,20:00,Alfredo Jaconi / Caxias do Sul
191,Fluminense / RJ,Fortaleza Ec / CE,16/08/2025,16:00,Jornalista Mário Filho / Rio de Janeiro
192,Botafogo / RJ,Palmeiras / SP,17/08/2025,20:30,Nilton Santos / Rio de Janeiro
193,Corinthians / SP,Bahia / BA,16/08/2025,21:00,Arena Corinthians / Sao Paulo
194,Santos / SP,Vasco da Gama / RJ,17/08/2025,16:00,Cícero Pompeu de Toledo / Sao Paulo
196,Atlético Mineiro / MG,Grêmio / RS,17/08/2025,16:00,ARENA MRV / Belo Horizonte
197,Internacional / RS,Flamengo / RJ,17/08/2025,18:30,José Pinheiro Borda / Porto Alegre
198,Vitória / BA,Juventude / RS,16/08/2025,18:30,Manoel Barradas / Salvador
199,Ceará / CE,Red Bull Bragantino / SP,16/08/2025,16:00,Governador Plácido Aderaldo Castelo / Fortaleza
200,Sport / PE,São Paulo / SP,16/08/2025,18:30,Adelmar da Costa Carvalho / Recife
